r V0p5 V1 V3 V10 V30
0.01 36.221255 35.159201 34.055865 33.284749 32.799026
0.010392892 35.875081 34.872293 33.830363 33.102125 32.643409
0.01080122 35.528929 34.585391 33.604862 32.919502 32.487791
0.011225591 35.182802 34.298494 33.379361 32.736879 32.332173
0.011666635 34.836702 34.011604 33.15386 32.554256 32.176555
0.012125007 34.490629 33.724721 32.928361 32.371633 32.020937
0.012601389 34.144587 33.437845 32.702862 32.18901 31.865319
0.013096487 33.798577 33.150977 32.477364 32.006387 31.709701
0.013611037 33.452601 32.864117 32.251867 31.823764 31.554083
0.014145803 33.106662 32.577267 32.026371 31.641142 31.398466
0.01470158 32.760763 32.290426 31.800876 31.458519 31.242848
0.015279193 32.414906 32.003596 31.575383 31.275896 31.08723
0.0158795 32.069093 31.716776 31.34989 31.093274 30.931612
0.016503392 31.723329 31.429969 31.124399 30.910652 30.775994
0.017151797 31.377616 31.143174 30.898909 30.72803 30.620377
0.017825677 31.031958 30.856393 30.67342 30.545408 30.464759
0.018526033 30.686358 30.569627 30.447934 30.362786 30.309141
0.019253905 30.340821 30.282876 30.222449 30.180164 30.153523
0.020010375 29.995351 29.996141 29.996966 29.997542 29.997906
0.020796566 29.649952 29.709425 29.771484 29.814921 29.842288
0.021613646 29.30463 29.422728 29.546005 29.6323 29.68667
0.022462828 28.959389 29.136051 29.320528 29.449679 29.531053
0.023345374 28.614234 28.849396 29.095054 29.267058 29.375435
0.024262594 28.269173 28.562764 28.869582 29.084437 29.219818
0.025215852 27.92421 28.276157 28.644113 28.901817 29.0642
0.026206561 27.579353 27.989577 28.418648 28.719197 28.908582
0.027236196 27.234608 27.703026 28.193185 28.536577 28.752965
0.028306283 26.889983 27.416505 27.967726 28.353958 28.597347
0.029418413 26.545487 27.130016 27.74227 28.171339 28.44173
0.030574238 26.201127 26.843563 27.516818 27.98872 28.286113
0.031775475 25.856912 26.557147 27.291371 27.806102 28.130495
0.033023907 25.512853 26.27077 27.065928 27.623484 27.974878
0.034321389 25.168958 25.984437 26.84049 27.440867 27.819261
0.035669848 24.825241 25.698148 26.615058 27.25825 27.663644
0.037071286 24.48171 25.411909 26.389631 27.075633 27.508027
0.038527786 24.13838 25.125721 26.164209 26.893017 27.352409
0.040041511 23.795263 24.839588 25.938795 26.710402 27.196792
0.041614709 23.452372 24.553515 25.713387 26.527787 27.041176
0.043249716 23.109723 24.267505 25.487986 26.345173 26.885559
0.044948962 22.76733 23.981562 25.262594 26.16256 26.729942
0.046714969 22.425211 23.695692 25.03721 25.979948 26.574325
0.048550362 22.083383 23.409898 24.811834 25.797336 26.418709
0.050457865 21.741864 23.124186 24.586469 25.614725 26.263092
0.052440313 21.400674 22.838562 24.361114 25.432116 26.107476
0.054500649 21.059833 22.553031 24.13577 25.249507 25.95186
0.056641934 20.719364 22.267599 23.910437 25.066899 25.796243
0.058867349 20.379291 21.982274 23.685118 24.884293 25.640627
0.061180198 20.039637 21.697061 23.459812 24.701688 25.485012
0.063583917 19.700428 21.41197 23.23452 24.519084 25.329396
0.066082077 19.361693 21.127007 23.009244 24.336482 25.17378
0.068678387 19.023461 20.842181 22.783984 24.153881 25.018165
0.071376703 18.685761 20.557501 22.558743 23.971282 24.86255
0.074181035 18.348627 20.272976 22.33352 23.788685 24.706935
0.077095546 18.012093 19.988618 22.108317 23.606089 24.55132
0.080124566 17.676195 19.704436 21.883136 23.423496 24.395706
0.083272594 17.340972 19.420442 21.657979 23.240905 24.240092
0.086544305 17.006463 19.136647 21.432846 23.058317 24.084478
0.089944559 16.672711 18.853066 21.20774 22.875731 23.928864
0.093478406 16.33976 18.569712 20.982662 22.693148 23.773251
0.097151095 16.007658 18.286598 20.757614 22.510567 23.617638
0.10096808 15.676453 18.003741 20.532599 22.32799 23.462025
0.10493503 15.346198 17.721156 20.307618 22.145417 23.306413
0.10905784 15.016947 17.438862 20.082674 21.962846 23.150801
0.11334264 14.688758 17.156875 19.857769 21.78028 22.99519
0.11779577 14.361689 16.875216 19.632907 21.597718 22.839579
0.12242387 14.035805 16.593905 19.408089 21.41516 22.683969
0.1272338 13.71117 16.312963 19.18332 21.232608 22.528359
0.13223271 13.387854 16.032413 18.958602 21.05006 22.37275
0.13742803 13.065929 15.75228 18.733938 20.867518 22.217141
0.14282746 12.745471 15.472589 18.509333 20.684981 22.061533
0.14843903 12.426557 15.193367 18.284791 20.502451 21.905926
0.15427108 12.10927 14.914642 18.060314 20.319928 21.75032
0.16033226 11.793695 14.636444 17.835909 20.137411 21.594715
0.16663158 11.479921 14.358806 17.61158 19.954903 21.43911
0.1731784 11.168041 14.081759 17.387331 19.772402 21.283507
0.17998244 10.858152 13.80534 17.163168 19.589911 21.127904
0.1870538 10.550352 13.529585 16.939097 19.407429 20.972303
0.19440298 10.244745 13.254533 16.715124 19.224957 20.816703
0.20204092 9.9414384 12.980226 16.491255 19.042496 20.661104
0.20997894 9.6405429 12.706705 16.267497 18.860046 20.505506
0.21822883 9.3421727 12.434017 16.043858 18.677609 20.349911
0.22680286 9.0464457 12.162208 15.820344 18.495184 20.194316
0.23571376 8.7534834 11.891329 15.596965 18.312775 20.038724
0.24497476 8.4634104 11.621431 15.37373 18.13038 19.883133
0.25459961 8.1763549 11.352569 15.150646 17.948001 19.727544
0.26460262 7.8924481 11.0848 14.927724 17.76564 19.571957
0.27499864 7.6118241 10.818184 14.704975 17.583297 19.416373
0.28580311 7.3346198 10.552783 14.48241 17.400974 19.260791
0.29703207 7.0609747 10.288662 14.26004 17.218671 19.105211
0.30870222 6.7910305 10.02589 14.037877 17.036392 18.949635
0.32083087 6.5249308 9.7645373 13.815936 16.854137 18.794061
0.33343605 6.262821 9.5046771 13.594229 16.671907 18.638491
0.34653648 6.0048475 9.2463866 13.372771 16.489705 18.482924
0.36015161 5.7511577 8.9897453 13.151579 16.307532 18.32736
0.37430166 5.5018993 8.734836 12.930668 16.125391 18.171801
0.38900767 5.2572199 8.4817444 12.710056 15.943284 18.016245
0.40429145 5.0172663 8.2305591 12.489762 15.761212 17.860695
0.42017573 4.7821842 7.981372 12.269804 15.579178 17.705149
0.43668408 4.5521172 7.7342778 12.050204 15.397186 17.549608
0.45384104 4.3272065 7.4893742 11.830984 15.215236 17.394073
0.47167208 4.1075901 7.2467617 11.612165 15.033334 17.238543
0.49020368 3.8934019 7.0065437 11.393773 14.851481 17.08302
0.50946338 3.6847709 6.7688264 11.175833 14.669681 16.927504
0.52947977 3.4818207 6.5337184 10.958372 14.487938 16.771995
0.55028259 3.2846685 6.3013309 10.741418 14.306255 16.616494
0.57190274 3.0934241 6.0717773 10.525 14.124637 16.461001
0.59437232 2.9081893 5.8451731 10.309151 13.943087 16.305517
0.61772472 2.7290569 5.6216358 10.093903 13.76161 16.150042
0.64199461 2.5561097 5.4012843 9.8792905 13.580211 15.994578
0.66721804 2.3894198 5.184239 9.6653502 13.398896 15.839125
0.69343249 2.2290478 4.9706212 9.45212 13.217669 15.683683
0.72067687 2.0750419 4.760553 9.2396399 13.036536 15.528253
0.74899167 1.9274369 4.5541567 9.0279519 12.855504 15.372837
0.77841893 1.7862539 4.3515546 8.8170997 12.67458 15.217436
0.80900236 1.6514992 4.1528682 8.6071293 12.493769 15.062049
0.8407874 1.5231641 3.9582182 8.3980887 12.31308 14.906679
0.87382123 1.401224 3.7677235 8.1900278 12.13252 14.751326
0.90815295 1.2856383 3.5815011 7.9829991 11.952098 14.595991
0.94383352 1.17635 3.3996651 7.7770569 11.771822 14.440677
0.98091596 1.0732853 3.2223265 7.5722582 11.591702 14.285384
1.0194553 0.97635396 3.0495919 7.3686619 11.411747 14.130113
1.0595089 0.88544906 2.8815639 7.1663295 11.231969 13.974867
1.1011361 0.8004474 2.7183392 6.9653247 11.052378 13.819646
1.1443988 0.72120987 2.5600088 6.7657137 10.872986 13.664454
1.1893613 0.64758201 2.406657 6.5675651 10.693806 13.50929
1.2360903 0.57939475 2.2583603 6.3709496 10.51485 13.354159
1.2846553 0.51646528 2.1151873 6.1759407 10.336133 13.199061
1.3351283 0.45859811 1.9771978 5.9826137 10.15767 13.043999
1.3875844 0.40558626 1.8444415 5.7910467 9.9794754 12.888975
1.4421015 0.35721261 1.7169584 5.6013198 9.8015662 12.733992
1.4987604 0.31325137 1.5947771 5.4135152 9.6239599 12.579053
1.5576455 0.27346965 1.4779149 5.2277173 9.4466748 12.424161
1.6188441 0.23762912 1.3663769 5.0440126 9.26973 12.269319
1.6824471 0.20548778 1.2601557 4.8624893 9.0931462 12.114529
1.7485491 0.17680172 1.1592307 4.6832373 8.9169447 11.959796
1.8172481 0.15132693 1.0635682 4.5063481 8.7411482 11.805124
1.8886463 0.12882109 0.97312075 4.3319146 8.5657805 11.650515
1.9628496 0.1090453 0.88782705 4.160031 8.3908667 11.495976
2.0399684 0.091765799 0.80761213 3.9907922 8.216433 11.341509
2.120117 0.0767555 0.73238729 3.8242938 8.0425073 11.187121
2.2034147 0.063795476 0.6620503 3.660632 7.8691186 11.032815
2.289985 0.052676253 0.59648578 3.4999028 7.6962974 10.878598
2.3799566 0.043198944 0.53556563 3.3422021 7.5240756 10.724475
2.4734631 0.0351762 0.47914964 3.1876251 7.352487 10.570452
2.5706434 0.028432951 0.42708627 3.036266 7.1815665 10.416536
2.6716419 0.022806947 0.37921347 2.8882176 7.0113509 10.262734
2.7766085 0.018149079 0.33535969 2.7435707 6.8418787 10.109053
2.8856991 0.014323499 0.29534499 2.6024139 6.67319 9.9554998
2.9990758 0.011207541 0.25898228 2.4648327 6.5053267 9.8020838
3.116907 0.0086914506 0.2260786 2.3309094 6.3383325 9.6488134
3.2393677 0.0066779505 0.1964365 2.2007225 6.172253 9.4956976
3.3666398 0.0050816578 0.16985552 2.0743458 6.0071355 9.3427464
3.4989123 0.00382838 0.14613363 1.9518483 5.8430293 9.1899699
3.6363816 0.0028543135 0.12506873 1.8332932 5.6799856 9.0373792
3.7792521 0.0021051753 0.10646016 1.7187378 5.5180574 8.8849857
3.9277357 0.0015352911 0.090110105 1.6082325 5.3572999 8.7328016
4.0820532 0.0011066691 0.075825006 1.5018205 5.19777 8.5808399
4.2424337 0.00078808059 0.063416873 1.3995373 5.0395265 8.4291143
4.4091154 0.00055416942 0.052704475 1.3014098 4.8826301 8.277639
4.5823459 0.00038460842 0.04351443 1.2074563 4.7271436 8.1264293
4.7623824 0.00026331529 0.035682137 1.1176857 4.5731313 7.9755013
4.9494925 0.00017773886 0.029052556 1.0320972 4.4206595 7.8248718
5.1439539 0.00011822152 0.023480829 0.95067992 4.2697961 7.6745587
5.3460556 7.7440454e-05 0.018832717 0.87341265 4.1206108 7.5245808
5.5560977 4.9927051e-05 0.01498487 0.80026356 3.9731745 7.3749579
