S nodes capex p0p5 a0p5 t0p5 p1 a1 t1 p3 a3 t3 p10 a10 t10 p30 a30 t30
15 51.321529 251975.37 0.027206891 0.017023604 6.1343645 0.095904535 0.012159593 5.1844577 0.72596742 0.0011946877 1.625066 1 0 0 1 0 0
16.554622 42.135056 206872.17 0.0223369 0.021428099 6.8823323 0.078737774 0.015921242 5.9324255 0.59602039 0.0025475354 2.3730338 1 0 0 1 0 0
18.109244 35.211253 172878.1 0.01866641 0.026338776 7.6303 0.065799264 0.020189075 6.6803933 0.4980799 0.0044065667 3.1210016 1 0 0 1 0 0
19.663866 29.863748 146623.24 0.015831558 0.031755638 8.3782678 0.055806382 0.024963092 7.4283611 0.42243691 0.0067717818 3.8689694 1 0 0 1 0 0
21.218487 25.647986 125924.94 0.013596671 0.037678683 9.1262356 0.047928388 0.030243292 8.1763289 0.36280295 0.0096431805 4.6169372 1 0 0 1 0 0
22.773109 22.265756 109319.07 0.011803662 0.044107912 9.8742034 0.041608015 0.036029676 8.9242967 0.3149597 0.013020763 5.364905 1 0 0 1 0 0
24.327731 19.510972 95793.797 0.010343279 0.051043325 10.622171 0.03646015 0.042322244 9.6722645 0.27599196 0.016904529 6.1128728 1 0 0 1 0 0
25.882353 17.237513 84631.705 0.0091380583 0.058484921 11.370139 0.032211737 0.049120996 10.420232 0.24383281 0.021294479 6.8608405 1 0 0 1 0 0
27.436975 15.339445 75312.689 0.008131843 0.066432701 12.118107 0.02866482 0.056425931 11.1682 0.21698374 0.026190612 7.6088083 1 0 0 1 0 0
28.991597 13.738453 67452.234 0.007283115 0.074886665 12.866075 0.025673046 0.06423705 11.916168 0.19433695 0.03159293 8.3567761 1 0 0 1 0 0
30.546218 12.375627 60761.109 0.0065606448 0.083846813 13.614042 0.023126332 0.072554352 12.664136 0.17505912 0.03750143 9.1047439 1 0 0 1 0 0
32.10084 11.205966 55018.38 0.005940577 0.093313144 14.36201 0.020940587 0.081377838 13.412103 0.15851371 0.043916115 9.8527117 1 0 0 1 0 0
33.655462 10.194619 50052.928 0.0054044352 0.10328566 15.109978 0.019050683 0.090707508 14.160071 0.14420773 0.050836983 10.600679 1 0 0 1 0 0
35.210084 9.314252 45730.556 0.0049377297 0.11376436 15.857946 0.017405541 0.10054336 14.908039 0.13175452 0.058264035 11.348647 1 0 0 1 0 0
36.764706 8.5431871 41944.827 0.0045289679 0.12474924 16.605913 0.015964652 0.1108854 15.656007 0.12084744 0.066197271 12.096615 1 0.00011323358 0.50030107 1 0 0
38.319328 7.8640514 38610.448 0.0041689403 0.13624031 17.353881 0.014695552 0.12173362 16.403975 0.11124074 0.07463669 12.844583 1 0.00070490182 1.2482689 1 0 0
39.87395 7.2627918 35658.42 0.0038501968 0.14823755 18.101849 0.013571978 0.13308802 17.151942 0.10273564 0.083582293 13.592551 0.97067319 0.0018027538 1.9962366 1 0 0
41.428571 6.7279413 33032.442 0.0035666584 0.16074099 18.849817 0.012572503 0.14494861 17.89991 0.095169926 0.09303408 14.340518 0.89919033 0.0034067894 2.7442044 1 0 0
42.983193 6.2500682 30686.21 0.0033133253 0.1737506 19.597785 0.011679502 0.15731539 18.647878 0.088410184 0.10299205 15.088486 0.83532252 0.0055170087 3.4921722 1 0 0
44.537815 5.8213578 28581.353 0.0030860547 0.18726641 20.345752 0.01087837 0.17018834 19.395846 0.082345871 0.1134562 15.836454 0.77802532 0.0081334117 4.24014 1 0 0
46.092437 5.4352906 26685.864 0.0028813903 0.20128839 21.09372 0.010156927 0.18356748 20.143813 0.076884768 0.12442654 16.584422 0.72642738 0.011255998 4.9881078 1 0 0
47.647059 5.086393 24972.867 0.0026964306 0.21581656 21.841688 0.0095049419 0.1974528 20.891781 0.071949446 0.13590306 17.33239 0.67979717 0.014884769 5.7360756 1 0 0
49.201681 4.7700423 23419.668 0.0025287248 0.23085091 22.589656 0.0089137774 0.21184431 21.639749 0.067474515 0.14788577 18.080357 0.63751685 0.019019723 6.4840434 1 0 0
50.756303 4.4823127 22006.99 0.0023761917 0.24639145 23.337624 0.0083760972 0.226742 22.387717 0.063404443 0.16037466 18.828325 0.59906175 0.023660861 7.2320111 1 0 0
52.310924 4.219853 20718.381 0.0022370549 0.26243816 24.085591 0.0078856386 0.24214587 23.135685 0.059691825 0.17336973 19.576293 0.56398396 0.028808182 7.9799789 1 0 0
53.865546 3.9797883 19539.726 0.0021097903 0.27899107 24.833559 0.0074370298 0.25805593 23.883652 0.056295996 0.18687099 20.324261 0.53189929 0.034461687 8.7279467 1 0 0
55.420168 3.7596415 18458.862 0.0019930847 0.29605015 25.581527 0.0070256415 0.27447217 24.63162 0.053181915 0.20087843 21.072228 0.50247663 0.040621376 9.4759145 1 0 0
56.97479 3.5572685 17465.263 0.0018858015 0.31361542 26.329495 0.0066474671 0.2913946 25.379588 0.050319253 0.21539205 21.820196 0.47542945 0.047287249 10.223882 1 0 0
58.529412 3.3708062 16549.782 0.0017869529 0.33168688 27.077462 0.0062990251 0.30882321 26.127556 0.047681656 0.23041186 22.568164 0.45050875 0.054459305 10.97185 1 0 0
60.084034 3.1986296 15704.44 0.0016956776 0.35026451 27.82543 0.0059772786 0.326758 26.875524 0.045246135 0.24593785 23.316132 0.42749731 0.062137545 11.719818 1 0 0
61.638655 3.0393156 14922.249 0.001611221 0.36934834 28.573398 0.0056795686 0.34519898 27.623491 0.042992563 0.26197002 24.0641 0.40620497 0.070321968 12.467786 1 0 0
63.193277 2.8916142 14197.074 0.0015329207 0.38893834 29.321366 0.0054035591 0.36414614 28.371459 0.040903257 0.27850838 24.812067 0.38646466 0.079012576 13.215753 1 0 0
64.747899 2.7544237 13523.504 0.0014601924 0.40903453 30.069334 0.0051471912 0.38359948 29.119427 0.038962632 0.29555292 25.560035 0.36812913 0.088209367 13.963721 1 0 0
66.302521 2.6267699 12896.757 0.0013925197 0.4296369 30.817301 0.0049086445 0.40355901 29.867395 0.037156908 0.31310365 26.308003 0.35106817 0.097912341 14.711689 1 0 0
