canopy duty lolp
0.01 0.05 0
0.01 0.074359 0
0.01 0.0987179 0
0.01 0.123077 0
0.01 0.147436 0
0.01 0.171795 0
0.01 0.196154 0
0.01 0.220513 0
0.01 0.244872 0
0.01 0.269231 0.0447489
0.01 0.29359 0.120548
0.01 0.317949 0.195434
0.01 0.342308 0.281279
0.01 0.366667 0.362557
0.01 0.391026 0.441096
0.01 0.415385 0.546119
0.01 0.439744 0.66484
0.01 0.464103 0.772603
0.01 0.488462 0.853881
0.01 0.512821 0.903196
0.01 0.537179 0.928767
0.01 0.561538 0.950685
0.01 0.585897 0.953425
0.01 0.610256 0.956164
0.01 0.634615 0.957991
0.01 0.658974 0.960731
0.01 0.683333 0.962557
0.01 0.707692 0.96347
0.01 0.732051 0.965297
0.01 0.75641 0.96621
0.01 0.780769 0.968037
0.01 0.805128 0.96895
0.01 0.829487 0.969863
0.01 0.853846 0.971689
0.01 0.878205 0.971689
0.01 0.902564 0.972603
0.01 0.926923 0.973516
0.01 0.951282 0.974429
0.01 0.975641 0.975342
0.01 1 0.976256

0.0174359 0.05 0
0.0174359 0.074359 0
0.0174359 0.0987179 0
0.0174359 0.123077 0
0.0174359 0.147436 0
0.0174359 0.171795 0
0.0174359 0.196154 0
0.0174359 0.220513 0
0.0174359 0.244872 0
0.0174359 0.269231 0
0.0174359 0.29359 0
0.0174359 0.317949 0
0.0174359 0.342308 0
0.0174359 0.366667 0
0.0174359 0.391026 0.0611872
0.0174359 0.415385 0.0968037
0.0174359 0.439744 0.123288
0.0174359 0.464103 0.142466
0.0174359 0.488462 0.164384
0.0174359 0.512821 0.190868
0.0174359 0.537179 0.211872
0.0174359 0.561538 0.232877
0.0174359 0.585897 0.291324
0.0174359 0.610256 0.347032
0.0174359 0.634615 0.398174
0.0174359 0.658974 0.443836
0.0174359 0.683333 0.485845
0.0174359 0.707692 0.536073
0.0174359 0.732051 0.592694
0.0174359 0.75641 0.652055
0.0174359 0.780769 0.715068
0.0174359 0.805128 0.776256
0.0174359 0.829487 0.831963
0.0174359 0.853846 0.86758
0.0174359 0.878205 0.90411
0.0174359 0.902564 0.926027
0.0174359 0.926923 0.942466
0.0174359 0.951282 0.954338
0.0174359 0.975641 0.961644
0.0174359 1 0.973516

0.0248718 0.05 0
0.0248718 0.074359 0
0.0248718 0.0987179 0
0.0248718 0.123077 0
0.0248718 0.147436 0
0.0248718 0.171795 0
0.0248718 0.196154 0
0.0248718 0.220513 0
0.0248718 0.244872 0
0.0248718 0.269231 0
0.0248718 0.29359 0
0.0248718 0.317949 0
0.0248718 0.342308 0
0.0248718 0.366667 0
0.0248718 0.391026 0
0.0248718 0.415385 0
0.0248718 0.439744 0
0.0248718 0.464103 0
0.0248718 0.488462 0.03379
0.0248718 0.512821 0.0730594
0.0248718 0.537179 0.107763
0.0248718 0.561538 0.127854
0.0248718 0.585897 0.147945
0.0248718 0.610256 0.16895
0.0248718 0.634615 0.188128
0.0248718 0.658974 0.201826
0.0248718 0.683333 0.213699
0.0248718 0.707692 0.235616
0.0248718 0.732051 0.263014
0.0248718 0.75641 0.278539
0.0248718 0.780769 0.300457
0.0248718 0.805128 0.321461
0.0248718 0.829487 0.3379
0.0248718 0.853846 0.354338
0.0248718 0.878205 0.372603
0.0248718 0.902564 0.40274
0.0248718 0.926923 0.43653
0.0248718 0.951282 0.465753
0.0248718 0.975641 0.494064
0.0248718 1 0.531507

0.0323077 0.05 0
0.0323077 0.074359 0
0.0323077 0.0987179 0
0.0323077 0.123077 0
0.0323077 0.147436 0
0.0323077 0.171795 0
0.0323077 0.196154 0
0.0323077 0.220513 0
0.0323077 0.244872 0
0.0323077 0.269231 0
0.0323077 0.29359 0
0.0323077 0.317949 0
0.0323077 0.342308 0
0.0323077 0.366667 0
0.0323077 0.391026 0
0.0323077 0.415385 0
0.0323077 0.439744 0
0.0323077 0.464103 0
0.0323077 0.488462 0
0.0323077 0.512821 0
0.0323077 0.537179 0
0.0323077 0.561538 0
0.0323077 0.585897 0.0347032
0.0323077 0.610256 0.0611872
0.0323077 0.634615 0.0821918
0.0323077 0.658974 0.103196
0.0323077 0.683333 0.128767
0.0323077 0.707692 0.153425
0.0323077 0.732051 0.173516
0.0323077 0.75641 0.187215
0.0323077 0.780769 0.199087
0.0323077 0.805128 0.210046
0.0323077 0.829487 0.235616
