day soc_ref soc_shade kt
0 1 0.74508207 0.37387825
1 1 0.74259163 0.4348362
2 1 0.7339139 0.28977157
3 1 0.72080962 0.18642358
4 1 0.71143847 0.27132973
5 1 0.706505 0.37147878
6 1 0.70051531 0.34559082
7 1 0.69889983 0.44272737
8 1 0.6996255 0.49295024
9 1 0.69256674 0.31597355
10 1 0.68435416 0.28841644
11 1 0.67877008 0.34468729
12 1 0.66833371 0.23593659
13 1 0.66341741 0.35471346
14 1 0.66467289 0.48589429
15 1 0.6670125 0.50573423
16 1 0.65515283 0.19899974
17 1 0.65206782 0.38334767
18 1 0.64556853 0.30863134
19 1 0.64119505 0.35051598
20 1 0.64695554 0.55727449
21 1 0.65123857 0.52237512
22 1 0.65375774 0.48210927
23 1 0.6526663 0.40517585
24 1 0.6505171 0.38050536
25 1 0.65004591 0.4103869
26 1 0.65081291 0.43101618
27 1 0.64860958 0.36930351
28 1 0.6500445 0.43603519
29 1 0.64803687 0.36622611
30 1 0.64305569 0.30652215
31 1 0.6499415 0.52595511
32 1 0.66343646 0.64354467
33 1 0.66457927 0.41030924
34 1 0.66693166 0.42831094
35 1 0.66514492 0.34951559
36 1 0.67237393 0.50689323
37 1 0.67871559 0.48617152
38 1 0.68352228 0.45446451
39 1 0.69319848 0.53418285
40 1 0.7079512 0.61577513
41 1 0.71339821 0.4517029
42 1 0.71067964 0.31002452
43 1 0.71611673 0.44240162
44 1 0.71436767 0.31968971
45 1 0.71053314 0.28247473
46 1 0.71976856 0.49021098
47 1 0.727334 0.45857067
48 1 0.72274221 0.26195905
49 1 0.73263131 0.48557668
50 1 0.7508963 0.61018907
51 1 0.7622726 0.49852077
52 1 0.76847569 0.415066
53 1 0.77633752 0.43575443
54 1 0.78580997 0.45528184
55 1 0.79631852 0.46594225
56 1 0.81970018 0.64864481
57 1 0.83610263 0.54161594
58 1 0.85176788 0.52572899
59 1 0.86550823 0.49335214
60 1 0.87832519 0.47559614
61 1 0.88693201 0.4126422
62 1 0.89457431 0.39541192
63 1 0.9179377 0.60516931
64 1 0.92956658 0.44149546
65 1 0.95030736 0.55873533
66 1 0.95549318 0.34812233
67 1 0.96981127 0.46429558
68 1 0.97079442 0.28721381
69 1 0.98008687 0.39123919
70 1 0.99112446 0.40986863
71 1 1 0.53100005
72 1 1 0.41097832
73 1 1 0.52477921
74 1 1 0.53943361
75 1 1 0.45784457
76 1 1 0.68096548
77 1 1 0.56279375
78 1 1 0.56113938
79 1 1 0.5422445
80 1 1 0.56742857
81 1 1 0.67932876
82 1 1 0.5963111
83 1 1 0.56270849
84 1 1 0.65184569
85 1 1 0.78
86 1 1 0.70184654
87 1 1 0.7167553
88 1 1 0.6833251
89 1 1 0.78
90 1 1 0.59388707
91 1 1 0.54036054
92 1 1 0.43269283
93 1 1 0.72344018
94 1 1 0.58320771
95 1 1 0.7298996
96 1 1 0.58955173
97 1 1 0.58135
98 1 1 0.56767439
99 1 1 0.60723682
100 1 1 0.57944594
101 1 1 0.7079635
102 1 1 0.71369356
103 1 1 0.74390198
104 1 1 0.78
105 1 1 0.65594819
106 1 1 0.63860576
107 1 1 0.51224126
108 1 1 0.51000991
109 1 1 0.75240707
110 1 1 0.69849094
111 1 1 0.63722122
112 1 1 0.64024178
113 1 1 0.78
114 1 1 0.75664528
115 1 1 0.69448452
116 1 1 0.72736889
117 1 1 0.64934175
118 1 1 0.54151301
119 1 1 0.62984133
120 1 1 0.46571561
121 1 1 0.58004787
122 1 1 0.57874227
123 1 1 0.43298587
124 1 1 0.49928538
125 1 1 0.5685239
126 1 1 0.58612169
127 1 1 0.62060208
128 1 1 0.70323713
129 1 1 0.39356477
130 1 1 0.49621483
131 1 1 0.56852568
132 1 1 0.70154032
133 1 1 0.78
134 1 1 0.56369868
135 1 1 0.4498855
136 1 1 0.61702418
137 1 1 0.51470859
138 1 1 0.35671591
139 1 1 0.52438262
140 1 1 0.61725758
141 1 1 0.46271348
142 1 1 0.72329986
143 1 1 0.51273762
144 1 1 0.52406274
145 1 1 0.63500317
146 1 1 0.68119188
147 1 1 0.66161402
148 1 1 0.57856893
149 1 1 0.61546481
150 1 1 0.7248754
151 1 1 0.66513417
152 1 1 0.736463
153 1 1 0.40465528
154 1 1 0.54838352
155 1 1 0.57037473
156 1 1 0.65406998
157 1 1 0.53141499
158 1 1 0.53865045
159 1 1 0.70506717
160 1 1 0.47397374
161 1 1 0.47031267
162 1 1 0.62724335
163 1 1 0.63762549
164 1 1 0.45830503
165 1 1 0.58775631
166 1 1 0.60940124
167 1 1 0.46663987
168 1 1 0.53253873
169 1 1 0.58231584
170 1 1 0.65268721
171 1 1 0.5282859
172 1 1 0.6019462
173 1 1 0.63039747
174 1 1 0.75375714
175 1 1 0.71444064
176 1 1 0.6784359
177 1 1 0.59610007
178 1 1 0.58336767
179 1 1 0.78
180 1 1 0.78
181 1 1 0.66906158
182 1 1 0.65257603
183 1 1 0.63121278
184 1 1 0.69006045
185 1 1 0.636298
186 1 1 0.68005525
187 1 1 0.63247739
188 1 1 0.6093887
189 1 1 0.69747626
190 1 1 0.72810257
191 1 1 0.54672413
192 1 1 0.69871184
193 1 1 0.62510432
194 1 1 0.58344746
195 1 1 0.78
196 1 1 0.78
197 1 1 0.65847355
198 1 1 0.62989479
199 1 1 0.67721325
200 1 1 0.55060169
201 1 1 0.693739
202 1 1 0.63696117
203 1 1 0.62938103
204 1 1 0.58500333
205 1 1 0.55869109
206 1 1 0.66686797
207 1 1 0.5543045
208 1 1 0.55485358
209 1 1 0.68064696
210 1 1 0.67528521
211 1 1 0.65984548
212 1 1 0.58868019
213 1 1 0.69979023
214 1 1 0.64017058
215 1 1 0.54699745
216 1 1 0.60150173
217 1 1 0.74125947
218 1 1 0.67591086
219 1 1 0.60199344
220 1 1 0.78
221 1 1 0.72475902
222 1 1 0.77666334
223 1 1 0.78
224 1 1 0.62849536
225 1 1 0.76771576
226 1 1 0.51076854
227 1 1 0.61059757
228 1 1 0.73367866
229 1 1 0.57967089
230 1 1 0.63071787
231 1 1 0.72849273
232 1 1 0.71771578
233 1 1 0.54777765
234 1 1 0.47978388
235 1 1 0.71833222
236 1 1 0.57499693
237 1 1 0.40226586
238 1 1 0.40281978
239 1 1 0.41389451
240 1 1 0.56512575
241 1 1 0.44833645
242 1 1 0.31757057
243 1 1 0.47513131
244 1 1 0.63172047
245 1 1 0.78
246 1 1 0.48694353
247 1 1 0.49996187
248 1 1 0.46130271
249 1 1 0.50703652
250 1 1 0.53029613
251 1 1 0.53867331
252 1 1 0.61714837
253 1 1 0.65652048
254 1 1 0.61800199
255 1 1 0.52954394
256 1 1 0.73360914
257 1 1 0.70906176
258 1 1 0.60301177
259 1 1 0.43449252
260 1 1 0.51936476
261 1 1 0.53889985
262 1 1 0.51034859
263 1 1 0.31515395
264 1 0.99995713 0.25255175
265 1 1 0.28573702
266 1 0.99625451 0.21186781
267 1 1 0.40788764
268 1 1 0.36475998
269 1 1 0.53793263
270 1 1 0.4460425
271 1 1 0.38056232
272 1 1 0.44435466
273 1 1 0.41679574
274 1 1 0.49034342
275 1 1 0.44370699
276 1 1 0.42884386
277 1 1 0.43338032
278 1 1 0.56917523
279 1 1 0.43794013
280 1 1 0.45637833
281 1 1 0.38197862
282 1 1 0.41517673
283 1 1 0.41719545
284 1 1 0.35658309
285 1 1 0.48948166
286 1 1 0.38519847
287 1 1 0.50105963
288 1 1 0.61154943
289 1 1 0.65585799
290 1 1 0.43185078
291 1 1 0.63714689
292 1 1 0.56542305
293 1 1 0.64000131
294 1 1 0.5374045
295 1 1 0.52590021
296 1 1 0.42137911
297 1 1 0.44222011
298 1 0.99616985 0.28665648
299 1 0.99684596 0.36476702
300 1 0.99110968 0.2603906
301 1 0.99520329 0.43040307
302 1 0.99991101 0.44532027
303 1 0.99475322 0.27842357
304 1 0.99494308 0.37505636
305 1 0.98271352 0.15870444
306 1 0.9770051 0.27700505
307 1 0.97868071 0.41321965
308 1 0.98034992 0.41716538
309 1 0.97086528 0.21565101
310 1 0.96753505 0.33227579
311 1 0.96839708 0.41423504
312 1 0.96520756 0.34132629
313 1 0.9588466 0.28381838
314 1 0.94129985 0.07029912
315 1 0.93790993 0.34703992
316 1 0.93285109 0.31734873
317 1 0.93280821 0.41978869
318 1 0.93372303 0.44267833
319 1 0.93194809 0.39217702
320 1 0.93443688 0.48241273
321 1 0.93119637 0.36872893
322 1 0.93756538 0.57085231
323 1 0.93766553 0.44452838
324 1 0.93791971 0.451276
325 1 0.93217312 0.3274651
326 1 0.92797669 0.36305422
327 1 0.91626672 0.20396312
328 1 0.91237911 0.37500754
329 1 0.90232817 0.2430494
330 1 0.90253505 0.47010302
331 1 0.90034859 0.42020474
332 1 0.89275297 0.30243706
333 1 0.88132693 0.21848874
334 1 0.87672821 0.37348717
335 1 0.86839501 0.29098562
336 1 0.86266087 0.35167206
337 1 0.85805436 0.37922217
338 1 0.84994473 0.30050182
339 1 0.83784118 0.20963905
340 1 0.83188615 0.35305109
341 1 0.82611962 0.35881489
342 1 0.82260461 0.41270075
343 1 0.82022876 0.44077
344 1 0.81584641 0.3949444
345 1 0.81238528 0.41774011
346 1 0.81365659 0.53057604
347 1 0.80778347 0.36254529
348 1 0.80117337 0.34572893
349 1 0.79964888 0.46708163
350 1 0.79462307 0.38436716
351 1 0.78552558 0.28777677
352 1 0.77827087 0.33185128
353 1 0.77073262 0.32519166
354 1 0.7668253 0.41170912
355 1 0.76418595 0.4417786
356 1 0.76095436 0.42739609
357 1 0.74775416 0.18989795
358 1 0.74481444 0.43338486
