z w cum
0.125 0.013045963 0.0032614907
0.375 0.013505864 0.0066379568
0.625 0.014690766 0.010310648
0.875 0.016620551 0.014465786
1.125 0.019511429 0.019343643
1.375 0.023718884 0.025273364
1.625 0.029825045 0.032729625
1.875 0.038804427 0.042430732
2.125 0.052354318 0.055519312
2.375 0.073602176 0.073919855
2.625 0.10878323 0.10111566
2.875 0.17190911 0.14409294
3.125 0.1533633 0.18243377
3.375 0.0048986338 0.18365843
3.625 0.010053016 0.18617168
3.875 0.01437339 0.18976503
4.125 0.018972986 0.19450827
4.375 0.024425105 0.20061455
4.625 0.031197857 0.20841401
4.875 0.039485647 0.21828543
5.125 0.21293226 0.27151849
5.375 0.32694289 0.35325422
5.625 0.25669009 0.41742674
5.875 0.22267262 0.47309489
6.125 0.21159087 0.52599261
6.375 0.22001329 0.58099593
6.625 0.25127972 0.64381586
6.875 0.31857848 0.72346048
7.125 0.20443187 0.77456845
7.375 0.044655031 0.78573221
7.625 0.036513552 0.79486059
7.875 0.030041987 0.80237109
8.125 0.025035737 0.80863003
8.375 0.021038158 0.81388957
8.625 0.017500629 0.81826472
8.875 0.013353021 0.82160298
9.125 0.1468093 0.8583053
9.375 0.16875797 0.9004948
9.625 0.10570134 0.92692013
9.875 0.070526184 0.94455168
10.125 0.049227801 0.95685863
10.375 0.035569716 0.96575105
10.625 0.026419563 0.97235595
10.875 0.020072029 0.97737395
11.125 0.015541012 0.98125921
11.375 0.012228327 0.98431629
11.625 0.009756544 0.98675542
11.875 0.0078795152 0.9887253
12.125 0.0064321171 0.99033333
12.375 0.0053008408 0.99165854
12.625 0.0044059749 0.99276004
12.875 0.003690477 0.99368265
13.125 0.0031128372 0.99446086
13.375 0.0026423913 0.99512146
13.625 0.0022561789 0.99568551
13.875 0.0019367953 0.99616971
14.125 0.0016708994 0.99658743
14.375 0.0014481597 0.99694947
14.625 0.0012605 0.9972646
14.875 0.001101552 0.99753998
15.125 0.00096625403 0.99778155
15.375 0.00085055282 0.99799418
15.625 0.00075118 0.99818198
15.875 0.00066548313 0.99834835
16.125 0.00059129654 0.99849617
16.375 0.00052684195 0.99862789
16.625 0.00047065139 0.99874555
16.875 0.00042150694 0.99885092
17.125 0.00037839335 0.99894552
17.375 0.00034046053 0.99903064
17.625 0.00030699362 0.99910739
17.875 0.00027738909 0.99917673
18.125 0.00025113546 0.99923952
18.375 0.00022779763 0.99929647
18.625 0.00020700426 0.99934822
18.875 0.00018843732 0.99939533
19.125 0.00017182361 0.99943828
19.375 0.00015692772 0.99947752
19.625 0.00014354622 0.9995134
19.875 0.00013150282 0.99954628
20.125 0.00012064436 0.99957644
20.375 0.00011083743 0.99960415
20.625 0.00010196553 0.99962964
20.875 9.3926683e-05 0.99965312
21.125 8.6631452e-05 0.99967478
21.375 8.0001193e-05 0.99969478
21.625 7.3966626e-05 0.99971327
21.875 6.8466589e-05 0.99973039
22.125 6.3446983e-05 0.99974625
22.375 5.8859867e-05 0.99976096
22.625 5.4662675e-05 0.99977463
22.875 5.0817552e-05 0.99978733
23.125 4.7290773e-05 0.99979916
23.375 4.4052239e-05 0.99981017
23.625 4.107505e-05 0.99982044
23.875 3.8335124e-05 0.99983002
24.125 3.5810868e-05 0.99983898
24.375 3.3482898e-05 0.99984735
24.625 3.1333782e-05 0.99985518
24.875 2.9347826e-05 0.99986252
25.125 2.751088e-05 0.99986939
25.375 2.581017e-05 0.99987585
25.625 2.4234149e-05 0.99988191
25.875 2.2772368e-05 0.9998876
26.125 2.1415358e-05 0.99989295
26.375 2.015453e-05 0.99989799
26.625 1.8982084e-05 0.99990274
26.875 1.7890928e-05 0.99990721
27.125 1.6874607e-05 0.99991143
27.375 1.592724e-05 0.99991541
27.625 1.5043465e-05 0.99991917
27.875 1.4218385e-05 0.99992273
28.125 1.3447525e-05 0.99992609
28.375 1.2726793e-05 0.99992927
28.625 1.2052441e-05 0.99993228
28.875 1.1421038e-05 0.99993514
29.125 1.0829434e-05 0.99993784
29.375 1.0274739e-05 0.99994041
29.625 9.7542972e-06 0.99994285
29.875 9.2656677e-06 0.99994517
30.125 8.806604e-06 0.99994737
30.375 8.3750373e-06 0.99994946
30.625 7.9690613e-06 0.99995146
30.875 7.5869175e-06 0.99995335
31.125 7.2269832e-06 0.99995516
31.375 6.8877595e-06 0.99995688
31.625 6.5678612e-06 0.99995852
31.875 6.266007e-06 0.99996009
32.125 5.9810111e-06 0.99996158
32.375 5.7117754e-06 0.99996301
32.625 5.4572822e-06 0.99996438
32.875 5.2165878e-06 0.99996568
33.125 4.9888165e-06 0.99996693
33.375 4.7731555e-06 0.99996812
