x y z risk twi slope
456.075 4317.44 -120 -0.06 0 0
457.155 4317.44 -120 -0.06 0 0
458.235 4317.44 -120 -0.06 0 0
459.315 4317.44 -120 -0.06 0 0
460.395 4317.44 -120 -0.06 0 0
461.475 4317.44 -120 -0.06 0 0
462.555 4317.44 -120 -0.06 0 0
463.635 4317.44 -120 -0.06 0 0
464.715 4317.44 -120 -0.06 0 0
465.795 4317.44 -120 -0.06 0 0
466.875 4317.44 -120 -0.06 0 0
467.955 4317.44 -120 -0.06 0 0
469.035 4317.44 -120 -0.06 0 0
470.115 4317.44 -120 -0.06 0 0
471.195 4317.44 -120 -0.06 0 0
472.275 4317.44 -120 -0.06 0 0
473.355 4317.44 -120 -0.06 0 0
474.435 4317.44 -120 -0.06 0 0
475.515 4317.44 -120 -0.06 0 0
476.595 4317.44 -120 -0.06 0 0
477.675 4317.44 -120 -0.06 0 0
478.755 4317.44 -120 -0.06 0 0
479.835 4317.44 -120 -0.06 0 0
480.915 4317.44 -120 -0.06 0 0
481.995 4317.44 -120 -0.06 0 0
483.075 4317.44 -120 -0.06 0 0
484.155 4317.44 -120 -0.06 0 0
485.235 4317.44 -120 -0.06 0 0
486.315 4317.44 -120 -0.06 0 0
487.395 4317.44 -120 -0.06 0 0
488.475 4317.44 -120 -0.06 0 0
489.555 4317.44 -120 -0.06 0 0
490.635 4317.44 -120 -0.06 0 0
491.715 4317.44 -120 -0.06 0 0
492.795 4317.44 -120 -0.06 0 0
493.875 4317.44 -120 -0.06 0 0
494.955 4317.44 -120 -0.06 0 0
496.035 4317.44 -120 -0.06 0 0
497.115 4317.44 -120 -0.06 0 0
498.195 4317.44 -120 -0.06 0 0
499.275 4317.44 -120 -0.06 0 0
500.355 4317.44 -120 -0.06 0 0
501.435 4317.44 -120 -0.06 0 0
502.515 4317.44 -120 -0.06 0 0
503.595 4317.44 -120 -0.06 0 0
504.675 4317.44 -120 -0.06 0 0
505.755 4317.44 -120 -0.06 0 0
506.835 4317.44 -120 -0.06 0 0
507.915 4317.44 -120 -0.06 0 0
508.995 4317.44 -120 -0.06 0 0
510.075 4317.44 -120 -0.06 0 0
511.155 4317.44 -120 -0.06 0 0
512.235 4317.44 -120 -0.06 0 0
513.315 4317.44 -120 -0.06 0 0
514.395 4317.44 -120 -0.06 0 0
515.475 4317.44 -120 -0.06 0 0
516.555 4317.44 -120 -0.06 0 0
517.635 4317.44 -120 -0.06 0 0
518.715 4317.44 -120 -0.06 0 0
519.795 4317.44 -120 -0.06 0 0
520.875 4317.44 -120 -0.06 0 0
521.955 4317.44 -120 -0.06 0 0
523.035 4317.44 -120 -0.06 0 0
524.115 4317.44 -120 -0.06 0 0
525.195 4317.44 -120 -0.06 0 0
526.275 4317.44 -120 -0.06 0 0
527.355 4317.44 -120 -0.06 0 0
528.435 4317.44 -120 -0.06 0 0
529.515 4317.44 -120 -0.06 0 0
530.595 4317.44 -120 -0.06 0 0
531.675 4317.44 -120 -0.06 0 0
532.755 4317.44 -120 -0.06 0 0
533.835 4317.44 -120 -0.06 0 0
534.915 4317.44 -120 -0.06 0 0
535.995 4317.44 -120 -0.06 0 0
537.075 4317.44 -120 -0.06 0 0
538.155 4317.44 -120 -0.06 0 0
539.235 4317.44 -120 -0.06 0 0
540.315 4317.44 -120 -0.06 0 0
541.395 4317.44 -120 -0.06 0 0
542.475 4317.44 -120 -0.06 0 0
543.555 4317.44 -120 -0.06 0 0
544.635 4317.44 -120 -0.06 0 0
545.715 4317.44 -120 -0.06 0 0
546.795 4317.44 -120 -0.06 0 0
547.875 4317.44 -120 -0.06 0 0
548.955 4317.44 -120 -0.06 0 0
550.035 4317.44 -120 -0.06 0 0
551.115 4317.44 -120 -0.06 0 0
