x y
456.10120 4205.93295
457.62445 4205.92500

542.38636 4205.92500
544.64285 4205.93698
547.17263 4205.95119
549.70241 4205.96619
552.23220 4205.98197
554.76199 4205.99854
557.29178 4206.01588
559.82158 4206.03401
562.35137 4206.05293
564.88118 4206.07263
567.41098 4206.09311
569.94080 4206.11437
572.47061 4206.13642
575.00043 4206.15925
577.53026 4206.18287
580.06008 4206.20726
582.58992 4206.23245
585.11976 4206.25841
587.64960 4206.28516
590.17945 4206.31269
592.70931 4206.34101
595.23917 4206.37011
597.76904 4206.39999
600.29891 4206.43066
602.82879 4206.46211
605.35868 4206.49434

456.25065 4233.67181
458.77181 4233.65858
461.29297 4233.64614
463.81413 4233.63448
466.33529 4233.62361
468.85644 4233.61352
471.37759 4233.60422
473.89874 4233.59570
476.41989 4233.58796
478.94104 4233.58101
481.46219 4233.57485
483.98333 4233.56947
486.50447 4233.56488
489.02562 4233.56107
491.54676 4233.55804
494.06790 4233.55580
496.58904 4233.55435
499.11019 4233.55368
501.63133 4233.55380
504.15247 4233.55470
506.67361 4233.55638
509.19475 4233.55885
511.71589 4233.56211
514.23704 4233.56615
516.75818 4233.57097
519.27933 4233.57658
521.80047 4233.58298
524.32162 4233.59016
526.84277 4233.59812
529.36392 4233.60687
531.88507 4233.61641
534.40623 4233.62672
536.92739 4233.63783
539.44854 4233.64972
541.96970 4233.66239
544.49087 4233.67585
547.01203 4233.69010
549.53320 4233.70513
552.05438 4233.72094
554.57555 4233.73754
557.09673 4233.75493
559.61791 4233.77310
562.13910 4233.79205
564.66028 4233.81179
567.18148 4233.83232
569.70267 4233.85363
572.22388 4233.87572
574.74508 4233.89860
577.26629 4233.92227
579.78750 4233.94672
582.30872 4233.97195
584.82995 4233.99798
587.35118 4234.02478
589.87241 4234.05237
592.39365 4234.08075
594.91490 4234.10991
597.43615 4234.13986
599.95740 4234.17059
602.47867 4234.20211
604.99994 4234.23442

500.00000 4205.92500
500.00000 4207.69557
500.00000 4209.57612
500.00000 4211.45668
500.00000 4213.33724
500.00000 4215.21781
500.00000 4217.09838
500.00000 4218.97896
500.00000 4220.85954
500.00000 4222.74013
500.00000 4224.62073
500.00000 4226.50133
500.00000 4228.38194
500.00000 4230.26255
500.00000 4232.14316
500.00000 4234.02379
500.00000 4235.90442
500.00000 4237.78505
500.00000 4239.66569
500.00000 4241.54633
500.00000 4243.42698
500.00000 4245.30764
500.00000 4247.18830
500.00000 4249.06896
500.00000 4250.94964
500.00000 4252.83031
500.00000 4254.71100
500.00000 4256.59168
500.00000 4258.47238
500.00000 4260.35308
500.00000 4262.23378
500.00000 4264.11449
500.00000 4265.99520
500.00000 4267.87593
500.00000 4269.75665
500.00000 4271.63738
500.00000 4273.51812
500.00000 4275.39886
500.00000 4277.27961
500.00000 4279.16036
500.00000 4281.04112
500.00000 4282.92189
500.00000 4284.80266
500.00000 4286.68343
500.00000 4288.56421
500.00000 4290.44500
500.00000 4292.32579
500.00000 4294.20659
500.00000 4296.08739
500.00000 4297.96820
500.00000 4299.84901
500.00000 4301.72983
500.00000 4303.61066
500.00000 4305.49149
500.00000 4307.37232
500.00000 4309.25316
500.00000 4311.13401
500.00000 4313.01486
500.00000 4314.89572
500.00000 4316.77658

456.10120 4205.93295
456.11131 4207.81351
456.12142 4209.69408
456.13153 4211.57466
456.14165 4213.45524
456.15177 4215.33582
456.16189 4217.21641
456.17202 4219.09701
456.18215 4220.97761
456.19229 4222.85822
456.20243 4224.73883
456.21258 4226.61945
456.22272 4228.50007
456.23288 4230.38070
456.24303 4232.26133
456.25319 4234.14197
456.26335 4236.02262
456.27352 4237.90327
456.28369 4239.78392
456.29387 4241.66459
456.30405 4243.54525
456.31423 4245.42592
456.32442 4247.30660
456.33461 4249.18728
456.34480 4251.06797
456.35500 4252.94867
456.36520 4254.82936
456.37541 4256.71007
456.38562 4258.59078
456.39583 4260.47149
456.40605 4262.35221
456.41627 4264.23294
456.42649 4266.11367
456.43672 4267.99441
456.44695 4269.87515
456.45719 4271.75590
456.46743 4273.63665
456.47767 4275.51741
456.48792 4277.39817
456.49817 4279.27894
456.50843 4281.15972
456.51869 4283.04050
456.52895 4284.92129
456.53922 4286.80208
456.54949 4288.68287
456.55976 4290.56367
456.57004 4292.44448
456.58032 4294.32530
456.59061 4296.20611
456.60090 4298.08694
456.61119 4299.96777
456.62149 4301.84860
456.63179 4303.72944
456.64210 4305.61029
456.65241 4307.49114
456.66272 4309.37199
456.67304 4311.25285
456.68336 4313.13372
456.69368 4315.01459
456.70401 4316.89547

543.89880 4205.93295
543.88869 4207.81351
543.87858 4209.69408
543.86847 4211.57466
543.85835 4213.45524
543.84823 4215.33582
543.83811 4217.21641
543.82798 4219.09701
543.81785 4220.97761
543.80771 4222.85822
543.79757 4224.73883
543.78742 4226.61945
543.77728 4228.50007
543.76712 4230.38070
543.75697 4232.26133
543.74681 4234.14197
543.73665 4236.02262
543.72648 4237.90327
543.71631 4239.78392
543.70613 4241.66459
543.69595 4243.54525
543.68577 4245.42592
543.67558 4247.30660
543.66539 4249.18728
543.65520 4251.06797
543.64500 4252.94867
543.63480 4254.82936
543.62459 4256.71007
543.61438 4258.59078
543.60417 4260.47149
543.59395 4262.35221
543.58373 4264.23294
543.57351 4266.11367
543.56328 4267.99441
543.55305 4269.87515
543.54281 4271.75590
543.53257 4273.63665
543.52233 4275.51741
543.51208 4277.39817
543.50183 4279.27894
543.49157 4281.15972
543.48131 4283.04050
543.47105 4284.92129
543.46078 4286.80208
543.45051 4288.68287
543.44024 4290.56367
543.42996 4292.44448
543.41968 4294.32530
543.40939 4296.20611
543.39910 4298.08694
543.38881 4299.96777
543.37851 4301.84860
543.36821 4303.72944
543.35790 4305.61029
543.34759 4307.49114
543.33728 4309.37199
543.32696 4311.25285
543.31664 4313.13372
543.30632 4315.01459
543.29599 4316.89547

456.40094 4261.41185
458.91344 4261.39860
461.42594 4261.38613
463.93844 4261.37445
466.45093 4261.36355
468.96342 4261.35344
471.47591 4261.34412
473.98840 4261.33558
476.50089 4261.32783
479.01338 4261.32087
481.52586 4261.31469
484.03835 4261.30930
486.55083 4261.30470
489.06332 4261.30088
491.57580 4261.29785
494.08828 4261.29560
496.60076 4261.29415
499.11324 4261.29348
501.62572 4261.29359
504.13820 4261.29449
506.65069 4261.29618
509.16317 4261.29866
511.67565 4261.30192
514.18813 4261.30597
516.70062 4261.31080
519.21310 4261.31642
521.72559 4261.32283
524.23807 4261.33003
526.75056 4261.33801
529.26305 4261.34678
531.77554 4261.35633
534.28804 4261.36667
536.80053 4261.37780
539.31303 4261.38971
541.82553 4261.40241
544.33803 4261.41590
546.85054 4261.43018
549.36305 4261.44524
551.87556 4261.46108
554.38807 4261.47772
556.90059 4261.49514
559.41311 4261.51335
561.92563 4261.53234
564.43816 4261.55212
566.95069 4261.57269
569.46322 4261.59404
571.97576 4261.61618
574.48830 4261.63911
577.00085 4261.66283
579.51340 4261.68733
582.02596 4261.71262
584.53852 4261.73869
587.05108 4261.76555
589.56365 4261.79320
592.07623 4261.82164
594.58881 4261.85086
597.10139 4261.88087
599.61399 4261.91167
602.12658 4261.94325
604.63919 4261.97562

587.79842 4206.28676
587.77820 4208.16737
587.75798 4210.04800
587.73775 4211.92862
587.71752 4213.80926
587.69727 4215.68989
587.67702 4217.57054
587.65676 4219.45118
587.63649 4221.33184
587.61622 4223.21249
587.59593 4225.09316
587.57564 4226.97383
587.55534 4228.85450
587.53504 4230.73518
587.51473 4232.61587
587.49440 4234.49656
587.47407 4236.37725
587.45374 4238.25795
587.43339 4240.13866
587.41304 4242.01937
587.39268 4243.90009
587.37231 4245.78081
587.35194 4247.66154
587.33156 4249.54227
587.31116 4251.42301
587.29077 4253.30375
587.27036 4255.18450
587.24995 4257.06525
587.22953 4258.94601
587.20910 4260.82677
587.18866 4262.70754
587.16822 4264.58832
587.14776 4266.46910
587.12731 4268.34988
587.10684 4270.23068
587.08636 4272.11147
587.06588 4273.99227
587.04539 4275.87308
587.02489 4277.75389
587.00439 4279.63471
586.98387 4281.51553
586.96335 4283.39636
586.94283 4285.27719
586.92229 4287.15803
586.90175 4289.03887
586.88120 4290.91972
586.86064 4292.80058
586.84007 4294.68144
586.81950 4296.56230
586.79891 4298.44317
586.77832 4300.32405
586.75773 4302.20493
586.73712 4304.08581
586.71651 4305.96670
586.69589 4307.84760
586.67526 4309.72850
586.65463 4311.60941
586.63399 4313.49032
586.61334 4315.37124
586.59268 4317.25216

456.55206 4289.15307
459.05585 4289.13979
461.55964 4289.12730
464.06343 4289.11559
466.56721 4289.10467
469.07100 4289.09454
471.57478 4289.08520
474.07856 4289.07665
476.58234 4289.06888
479.08612 4289.06190
481.58990 4289.05572
484.09367 4289.05031
486.59745 4289.04570
489.10122 4289.04188
491.60500 4289.03884
494.10877 4289.03659
496.61254 4289.03513
499.11632 4289.03446
501.62009 4289.03458
504.12386 4289.03548
506.62763 4289.03717
509.13141 4289.03965
511.63518 4289.04292
514.13896 4289.04698
516.64273 4289.05182
519.14651 4289.05745
521.65029 4289.06387
524.15406 4289.07108
526.65784 4289.07908
529.16163 4289.08787
531.66541 4289.09744
534.16919 4289.10780
536.67298 4289.11895
539.17677 4289.13089
541.68056 4289.14362
544.18435 4289.15713
546.68815 4289.17143
549.19195 4289.18652
551.69575 4289.20240
554.19955 4289.21907
556.70336 4289.23652
559.20717 4289.25477
561.71098 4289.27380
564.21480 4289.29362
566.71862 4289.31423
569.22244 4289.33563
571.72627 4289.35781
574.23010 4289.38078
576.73394 4289.40455
579.23778 4289.42910
581.74162 4289.45443
584.24547 4289.48056
586.74932 4289.50748
589.25318 4289.53518
591.75705 4289.56367
594.26091 4289.59295
596.76479 4289.62302
599.26867 4289.65388
601.77255 4289.68553
604.27644 4289.71796

456.70401 4316.89547
459.19904 4316.88216
461.69408 4316.86965
464.18911 4316.85792
466.68414 4316.84698
469.17916 4316.83683
471.67419 4316.82747
474.16922 4316.81890
