x y lead slope theta0 tamb elev
601.335 4317.435 75.52986 14.91444 0.08 26.50875 928.6598
602.955 4316.895 74.82723 9.553616 0.08 26.87866 893.3116
459.855 4316.355 75.42051 7.429454 0.08 32.25798 37.13643
487.395 4316.355 80.34194 16.69096 0.1556374 29.80433 377.5952
493.875 4316.355 74.94959 11.78024 0.08 31.75349 141.2953
500.355 4316.355 78.38006 0.2675937 0.1311758 32.60486 3.773536
506.835 4316.355 78.18882 4.441613 0.1163376 32.12411 72.01657
513.315 4316.355 74.7365 10.20018 0.08 31.66923 134.8217
519.795 4316.355 80.42774 21.11745 0.2318535 30.77182 199.6755
525.735 4316.355 74.84289 13.56823 0.08 30.48639 283.9438
532.215 4316.355 75.29616 15.09516 0.08 27.75421 688.4246
538.695 4316.355 78.81746 8.50288 0.1439137 28.73623 575.584
545.175 4316.355 74.26721 5.20506 0.08 29.16495 539.0739
551.655 4316.355 76.06016 20.82025 0.08 29.47003 427.6815
558.135 4316.355 77.4764 2.309069 0.101016 30.84675 279.4685
564.615 4316.355 76.06597 13.82651 0.08309259 30.86395 263.5474
571.095 4316.355 79.6138 0.9138681 0.1534868 31.85022 121.6245
577.575 4316.355 75.61989 11.78177 0.08 30.50064 336.019
583.515 4316.355 78.96646 4.965657 0.1391655 28.52402 618.0235
589.995 4316.355 75.55738 11.96536 0.08 27.43645 751.1118
596.475 4316.355 74.47258 8.836676 0.08 27.297 796.2988
602.955 4316.355 78.05347 6.49722 0.0975088 26.36887 942.0191
459.855 4315.815 77.25626 18.29459 0.08495991 31.86366 33.57396
487.935 4315.815 79.62865 7.914919 0.1695036 29.97689 408.5618
494.415 4315.815 78.38289 2.789237 0.1286665 32.26018 59.30518
500.895 4315.815 78.66052 0.7213113 0.1311758 32.61257 4.502754
507.375 4315.815 77.18902 15.18017 0.09554726 31.47645 138.514
513.315 4315.815 79.31366 2.733049 0.2782211 31.87124 109.7008
519.795 4315.815 75.52591 18.69276 0.08 30.93949 242.6024
526.275 4315.815 78.59166 12.5933 0.09544797 30.63699 266.1691
532.755 4315.815 75.76407 15.74185 0.08 28.6543 611.7973
539.235 4315.815 76.24181 23.93104 0.08 27.74057 649.9283
545.715 4315.815 74.68799 3.35594 0.08 29.30537 517.3714
552.195 4315.815 78.55009 2.009767 0.1383483 31.15932 230.7861
558.675 4315.815 74.97227 2.703763 0.09246121 31.17459 228.3294
565.155 4315.815 78.40724 4.514495 0.09758345 31.50574 178.9819
571.095 4315.815 79.90881 0.7420822 0.1465775 31.86952 117.7123
577.575 4315.815 77.00422 6.130323 0.08939909 30.80721 275.3847
584.055 4315.815 75.33947 12.82825 0.08 27.98875 705.7448
590.535 4315.815 78.50552 13.19912 0.1039239 27.32052 764.5684
597.015 4315.815 78.22424 3.103345 0.08908863 27.13225 852.2552
603.495 4315.815 74.73328 7.046353 0.08 26.91854 889.004
460.395 4315.275 79.91925 1.402847 0.156977 32.60683 2.485414
488.475 4315.275 75.31111 6.914187 0.08313774 29.59004 464.0898
494.415 4315.275 74.28834 4.124187 0.08 32.2623 53.15181
500.895 4315.275 78.68435 0.200551 0.1311758 32.61057 3.540281
507.375 4315.275 79.573 7.528107 0.2267995 32.00496 71.69584
513.855 4315.275 75.73172 10.77656 0.082327 31.27742 185.1928
