s z T theta
3.42106 0.25 308.777 0.005
3.42106 0.75 271.803 0.005
3.42106 1.25 236.455 0.005
3.42106 1.75 202.876 0.005
3.42106 2.25 171.193 0.0050002
3.42106 2.75 141.661 0.00517403
3.42106 3.25 118.678 0.0124759
3.42106 3.75 106.777 0.0419303
3.42106 4.25 100.77 0.064391
3.42106 4.75 95.8125 0.0650006
3.42106 5.25 91.0262 0.0650008
3.42106 5.75 86.4182 0.0650008
3.42106 6.25 81.9978 0.0650007
3.42106 6.75 77.7705 0.0649999
3.42106 7.25 73.7386 0.0649972
3.42106 7.75 69.902 0.064997
3.42106 8.25 66.2593 0.0649936
3.42106 8.75 62.8069 0.0649621
3.42106 9.25 59.5408 0.0649726
3.42106 9.75 56.4542 0.0648146
3.42106 10.25 53.5296 0.0638038
3.42106 10.75 50.7685 0.0644611
3.42106 11.25 48.1697 0.0641567
3.42106 11.75 45.6373 0.0564734
3.42106 12.25 44.0558 0.0651942
3.42106 12.75 42.9611 0.0750499
3.42106 13.25 41.9248 0.0837905
3.42106 13.75 40.9376 0.0834252
3.42106 14.25 39.9998 0.0831088
3.42106 14.75 39.1126 0.0827965
3.42106 15.25 38.2766 0.0825041
3.42106 15.75 37.4922 0.0822365
3.42106 16.25 36.759 0.0819942
3.42106 16.75 36.0766 0.081776
3.42106 17.25 35.4438 0.0815801
3.42106 17.75 34.8595 0.0814046
3.42106 18.25 34.322 0.0812477
3.42106 18.75 33.8295 0.0811075
3.42106 19.25 33.3801 0.0809826
3.42106 19.75 32.9714 0.0808713
3.42106 20.25 32.6014 0.0807724
3.42106 20.75 32.2678 0.0806845
3.42106 21.25 31.9681 0.0806065
3.42106 21.75 31.7002 0.0805374
3.42106 22.25 31.4616 0.0804763
3.42106 22.75 31.2502 0.0804223
3.42106 23.25 31.0638 0.0803747
3.42106 23.75 30.9002 0.0803327
3.42106 24.25 30.7576 0.0802959
3.42106 24.75 30.6339 0.0802636
3.42106 25.25 30.5273 0.0802353
