s z slope twi risk ins
0 -6.983341 0.2285105 12.74771 0 25.01385
0.4887224 -6 0.006817064 12.64234 0 24.99917
0.9774447 -5 0 13.21771 0 24.99889
1.466167 -5 0 12.52456 0 24.99889
1.954889 -6.123336 0.2691053 18.11695 0 25.0048
2.443612 -6.142807 0.2795033 10.44512 0 24.99636
2.932334 -2.681677 0.7955868 11.47902 0 24.96574
3.421056 4.016778 1.738389 10.47446 0.45793 24.90025
3.909779 5.967455 5.031819 9.569874 0.5062686 25.06058
4.398501 66.0529 9.744059 8.344694 0.5571051 24.92809
4.887224 65.91985 13.91203 8.425611 0.4672541 23.40359
5.375946 65.55642 8.96026 8.505804 0.5155389 24.52564
5.864668 48.87092 11.80002 8.920185 0.4674008 23.81055
6.353391 25.85621 2.592411 9.814385 0.4756928 24.80591
6.842113 26.1821 3.308236 9.091491 0.5228136 25.0953
7.330835 1.364268 1.092834 10.47537 0.4766396 25.05234
7.819558 1.574992 1.463667 9.789736 0.4975641 25.05091
8.30828 -4.996115 0.2858447 14.45245 0 25.00289
8.797002 -4.716825 0.3031219 12.74771 0 24.99689
9.285725 -4 0.01932548 15.31265 0 24.99799
9.774447 -3 0.03715451 10.44512 0 24.99727
10.26317 -1.99636 0.1206006 10.44512 0 24.99292
10.75189 -1.997553 0.1106081 10.44512 0 24.99345
11.24061 -3 0.113178 11.83141 0 24.99404
11.72934 -3 0.1320965 12.23688 0 24.99021
12.21806 -2.004206 0.1695623 10.44512 0 24.99586
12.70678 -1.75337 0.2865172 11.13827 0 24.9811
13.1955 -2 0.05900376 11.13827 0 24.99619
13.68423 -3.890378 0.2823357 11.13827 0 24.995
14.17295 -6.191123 0.2893011 13.664 0 25.00391
14.66167 -7.25907 0.2923399 16.68344 0 25.01698
15.15039 -7 0.01752166 12.84302 0 24.99971
15.63912 -5.825118 0.2890886 12.84302 0 25.00175
16.12784 -5 0 13.53616 0 24.99889
16.61656 -5.9894 0.1879637 13.21771 0 25.00151
17.10528 -7 0.07693311 17.29313 0 25.0019
17.594 -7 0 16.36401 0 24.99889
18.08273 -6.051459 0.2322985 12.52456 0 25.00803
18.57145 -5.035352 0.2198826 12.39103 0 25.00232
19.06017 -5 0 12.05456 0 24.99889
19.54889 -5.823272 0.2912249 11.83141 0 25.00468
20.03762 -6.98802 0.1916922 11.54373 0 25.00854
20.52634 -7 0 10.44512 0 24.99889
21.01506 -6.159024 0.2737798 10.44512 0 25.00797
