s lead z
3.421056 74.27481 4.016778
3.909779 74.92659 5.967455
4.398501 77.19836 66.0529
4.887224 75.39861 65.91985
5.375946 75.44706 65.55642
5.864668 75.72759 48.87092
6.353391 78.35339 25.85621
6.842113 78.19309 26.1821
7.330835 78.57627 1.364268
7.819558 78.14013 1.574992
28.3459 78.12411 1
28.83462 78.21101 2
29.32334 78.09588 2.784327
29.81206 78.85195 2
30.30079 78.36673 0.9660003
31.27823 78.85433 0.8234869
31.76695 79.23137 1
32.25568 79.58808 1
41.5414 79.59484 3.934919
42.03012 79.61307 6.234219
42.51884 79.53102 12.00173
43.00757 79.29285 19.13771
43.49629 79.31749 9.662505
43.98501 79.27181 8.646345
44.47373 79.30389 15.98925
44.96246 79.36179 12.13051
45.45118 78.61907 37.08313
45.9399 78.48568 68.27879
46.42862 78.65608 62.59476
46.91735 78.19584 71.59463
47.40607 78.42302 45.30739
47.89479 76.61434 42.37584
48.38351 78.32493 38.41555
48.87224 78.40468 109.2795
49.36096 78.60191 65.08327
49.84968 79.367 82.36236
50.3384 79.01051 58.42053
50.82712 79.61036 74.93313
51.31585 79.46637 57.50178
51.80457 79.35949 56.12719
52.29329 79.6057 53.21297
52.78201 79.48125 63.10567
53.27074 78.9455 74.66819
53.75946 79.10618 90.00496
54.24818 75.96412 202.2468
54.7369 79.05376 170.9914
55.22563 78.47558 231.3415
55.71435 78.44891 241.4352
56.20307 75.12851 328.9982
56.69179 74.46667 400.095
57.18052 75.80948 473.9433
57.66924 77.1559 345.3573
58.15796 75.91705 403.9193
58.64668 79.3286 479.2245
59.1354 79.292 404.998
59.62413 75.83158 463.0149
60.11285 75.60808 495.7325
60.60157 76.02352 642.5306
61.09029 75.95675 592.551
61.57902 75.85855 528.7193
62.06774 76.67792 379.1321
62.55646 75.60918 327.2795
63.04518 78.99811 391.9387
63.53391 78.89601 363.112
64.02263 79.06085 431.1782
64.51135 75.9868 564.7327
65.00007 75.88023 526.3696
65.4888 76.00021 416.4028
65.97752 75.58984 451.2074
66.46624 76.44573 337.3643
66.95496 75.70059 246.1475
67.44368 78.61419 306.3891
67.93241 78.63198 218.0905
68.42113 78.60081 182.3412
68.90985 79.43768 159.953
69.39857 79.24137 158.3073
69.8873 79.23271 154.9515
70.37602 79.19417 154.7004
70.86474 79.32171 156.4541
71.35346 79.33094 159.3589
71.84219 79.45132 155.7544
72.33091 79.23794 149.7664
72.81963 79.29264 142.0481
73.30835 79.17372 140.9851
73.79708 79.19166 133.1749
74.2858 79.17354 131.1181
74.77452 79.30261 129.079
75.26324 79.33511 126.1242
75.75196 79.25535 130.2938
76.24069 79.25866 128.5809
76.72941 79.26027 128.0014
77.21813 79.17989 127.509
77.70685 79.17053 124.4687
78.19558 79.38988 125.6419
78.6843 79.31627 131.9393
79.17302 79.46427 138.9742
79.66174 79.65915 137.8711
80.15047 79.49318 135.8435
80.63919 79.63813 133.2601
81.12791 79.50886 136.8668
81.61663 79.34045 139.5759
82.10536 78.92813 139.2102
82.59408 79.23885 139.239
83.0828 79.26175 145.7506
83.57152 79.29734 144.0312
84.06024 79.27301 152.4694
84.54897 79.21177 152.7766
85.03769 79.57067 151.7668
85.52641 79.44539 155.5732
86.01513 79.39931 160.3694
86.50386 79.41096 163.4311
86.99258 79.36335 167.3665
87.4813 79.39178 166.1772
87.97002 79.34452 170.253
88.45875 79.5645 208.2541
88.94747 78.93234 201.6646
89.43619 78.2246 254.1009
89.92491 78.35767 307.9813
90.41364 74.61993 307.3624
90.90236 74.46852 344.27
91.39108 74.88689 456.8478
91.8798 75.00148 421.3806
92.36852 74.48216 310.8324
92.85725 75.33822 327.988
93.34597 75.00653 422.2791
93.83469 76.16852 445.053
94.32341 76.30488 444.0781
94.81214 79.41526 417.8849
95.30086 79.23652 492.6134
95.78958 78.59289 349.5283
96.2783 76.84061 498.9567
96.76703 77.04485 574.3008
97.25575 74.91638 555.9572
97.74447 76.26654 558.1293
98.23319 77.68041 548.6244
98.72192 77.44589 558.752
99.21064 78.48424 569.3836
99.69936 78.1849 566.2032
100.1881 76.08506 602.4808
100.6768 78.1239 606.0462
101.1655 74.66524 598.5002
101.6542 74.70001 599.4938
102.143 78.39525 474.8123
102.6317 78.54713 504.3719
103.1204 76.8607 504.2712
103.6091 78.97089 638.7092
104.0979 78.82668 670.5878
104.5866 78.31285 691.9458
105.0753 78.33163 722.5156
105.564 78.36903 754.9949
106.0528 77.82187 771.9819
106.5415 76.40076 662.4342
107.0302 78.28311 818.6869
107.5189 78.57231 808.2151
108.0076 77.79682 827.4371
108.4964 77.22449 876.1078
108.9851 78.27247 931.7635
109.4738 76.76659 1002.248
109.9625 75.08406 1081.638
110.4513 78.98785 1103.963
110.94 79.51442 798.3805
111.4287 79.30408 680.834
111.9174 78.99753 765.8859
112.4061 78.34238 873.2317
112.8949 76.03282 890.6202
113.3836 75.31388 874.4732
113.8723 76.32991 899.0904
114.361 75.46899 856.1962
114.8498 74.91025 875.5881
115.3385 75.3084 973.2784
115.8272 75 975.2198
116.3159 74.72433 1014.453
116.8046 78.5191 1054.964
117.2934 76.59942 1023.324
117.7821 76.85852 1024.459
118.2708 76.68725 1064.483
118.7595 76.43436 1036.178
119.2483 75.90345 808.5757
119.737 76.14047 572.2814
120.2257 76.40448 791.2388
120.7144 75.85539 975.9133
121.2031 75.64446 840.6964
121.6919 75.1646 973.2119
122.1806 75.5348 1033.54
122.6693 75.99559 1073.439
123.158 75.82624 987.203
123.6468 75.95537 1159.763
124.1355 76.48851 1164.784
124.6242 76.32437 1157.979
125.1129 76.89293 1065.997
125.6016 76.99224 763.1924
126.0904 75.93061 750.0652
126.5791 74.84903 883.496
