x t_dip0 t_dip25
-2.99 -999 -999
-2.97 -999 -999
-2.95 -999 -999
-2.93 -999 -999
-2.91 -999 -999
-2.89 -999 -999
-2.87 -999 -999
-2.85 -999 -999
-2.83 -999 -999
-2.81 -999 -999
-2.79 -999 -999
-2.77 -999 -999
-2.75 -999 -999
-2.73 -999 -999
-2.71 -999 -999
-2.69 -999 -999
-2.67 -999 -999
-2.65 -999 -999
-2.63 -999 -999
-2.61 -999 -999
-2.59 -999 -999
-2.57 -999 -999
-2.55 -999 -999
-2.53 -999 -999
-2.51 -999 -999
-2.49 -999 -999
-2.47 -999 -999
-2.45 -999 -999
-2.43 -999 -999
-2.41 -999 -999
-2.39 -999 -999
-2.37 -999 -999
-2.35 -999 -999
-2.33 -999 -999
-2.31 -999 -999
-2.29 -999 -999
-2.27 -999 -999
-2.25 -999 -999
-2.23 -999 -999
-2.21 -999 -999
-2.19 -999 -999
-2.17 -999 -999
-2.15 -999 -999
-2.13 -999 -999
-2.11 -999 -999
-2.09 -999 -999
-2.07 -999 -999
-2.05 -999 -999
-2.03 -999 -999
-2.01 -999 -999
-1.99 -999 -999
-1.97 -999 -999
-1.95 -999 -999
-1.93 -999 -999
-1.91 -999 -999
-1.89 -999 -999
-1.87 -999 -999
-1.85 -999 -999
-1.83 -999 -999
-1.81 -999 -999
-1.79 -999 -999
-1.77 -999 -999
-1.75 -999 -999
-1.73 -999 -999
-1.71 -999 -999
-1.69 -999 -999
-1.67 -999 -999
-1.65 -999 -999
-1.63 -999 -999
-1.61 -999 -999
-1.59 -999 -999
-1.57 -999 -999
-1.55 -999 -999
-1.53 -999 -999
-1.51 -999 -999
-1.49 -999 -999
-1.47 -999 -999
-1.45 -999 -999
-1.43 -999 -999
-1.41 -999 -999
-1.39 -999 -999
-1.37 -999 -999
-1.35 -999 -999
-1.33 -999 -999
-1.31 -999 -999
-1.29 -999 -999
-1.27 -999 -999
-1.25 -999 -999
-1.23 -999 -999
-1.21 -999 -999
-1.19 -999 -999
-1.17 -999 -999
-1.15 -999 -999
-1.13 -999 -999
-1.11 -999 -999
-1.09 -999 -999
-1.07 -999 -999
-1.05 -999 -999
-1.03 -999 -999
-1.01 -999 -999
-0.99 -999 -999
-0.97 -999 -999
-0.95 -999 -999
-0.93 -999 -999
-0.91 -999 -999
-0.89 -999 -999
-0.87 -999 -999
-0.85 -999 -999
-0.83 -999 -999
-0.81 -999 -999
-0.79 -999 -999
-0.77 -999 -999
-0.75 -999 -999
-0.73 -999 -999
-0.71 -999 -999
-0.69 -999 276
-0.67 264 244
-0.65 241 226
-0.63 226 214
-0.61 216 207
-0.59 209 203
-0.57 206 201
-0.55 204 200
-0.53 204 200
-0.51 203 200
-0.49 203 200
-0.47 203 200
-0.45 203 200
-0.43 203 200
-0.41 203 200
-0.39 203 200
-0.37 203 200
-0.35 203 200
-0.33 203 200
-0.31 203 200
-0.29 203 200
-0.27 203 200
-0.25 203 200
-0.23 203 200
-0.21 203 200
-0.19 203 200
-0.17 203 200
-0.15 203 200
-0.13 203 200
-0.11 203 200
-0.09 203 200
-0.07 203 200
-0.05 203 200
-0.03 203 200
-0.01 203 200
0.01 203 200
0.03 203 200
0.05 203 200
0.07 203 200
0.09 203 200
0.11 203 200
0.13 203 200
0.15 203 200
0.17 203 200
0.19 203 200
0.21 203 200
0.23 203 200
0.25 203 200
0.27 203 200
0.29 203 200
0.31 203 200
0.33 203 200
0.35 203 200
0.37 203 200
0.39 203 200
0.41 203 200
0.43 203 200
0.45 203 200
0.47 203 200
0.49 203 200
0.51 203 200
0.53 204 201
0.55 204 202
0.57 206 205
0.59 209 211
0.61 216 222
0.63 226 239
0.65 241 266
0.67 264 -999
0.69 -999 -999
0.71 -999 -999
0.73 -999 -999
0.75 -999 -999
0.77 -999 -999
0.79 -999 -999
0.81 -999 -999
0.83 -999 -999
0.85 -999 -999
0.87 -999 -999
0.89 -999 -999
0.91 -999 -999
0.93 -999 -999
0.95 -999 -999
0.97 -999 -999
0.99 -999 -999
1.01 -999 -999
1.03 -999 -999
1.05 -999 -999
1.07 -999 -999
1.09 -999 -999
1.11 -999 -999
1.13 -999 -999
1.15 -999 -999
1.17 -999 -999
1.19 -999 -999
1.21 -999 -999
1.23 -999 -999
1.25 -999 -999
1.27 -999 -999
1.29 -999 -999
1.31 -999 -999
1.33 -999 -999
1.35 -999 -999
1.37 -999 -999
1.39 -999 -999
1.41 -999 -999
1.43 -999 -999
1.45 -999 -999
1.47 -999 -999
1.49 -999 -999
1.51 -999 -999
1.53 -999 -999
1.55 -999 -999
1.57 -999 -999
1.59 -999 -999
1.61 -999 -999
1.63 -999 -999
1.65 -999 -999
1.67 -999 -999
1.69 -999 -999
1.71 -999 -999
1.73 -999 -999
1.75 -999 -999
1.77 -999 -999
1.79 -999 -999
1.81 -999 -999
1.83 -999 -999
1.85 -999 -999
1.87 -999 -999
1.89 -999 -999
1.91 -999 -999
1.93 -999 -999
1.95 -999 -999
1.97 -999 -999
1.99 -999 -999
2.01 -999 -999
2.03 -999 -999
2.05 -999 -999
2.07 -999 -999
2.09 -999 -999
2.11 -999 -999
2.13 -999 -999
2.15 -999 -999
2.17 -999 -999
2.19 -999 -999
2.21 -999 -999
2.23 -999 -999
2.25 -999 -999
2.27 -999 -999
2.29 -999 -999
2.31 -999 -999
2.33 -999 -999
2.35 -999 -999
2.37 -999 -999
2.39 -999 -999
2.41 -999 -999
2.43 -999 -999
2.45 -999 -999
2.47 -999 -999
2.49 -999 -999
2.51 -999 -999
2.53 -999 -999
2.55 -999 -999
2.57 -999 -999
2.59 -999 -999
2.61 -999 -999
2.63 -999 -999
2.65 -999 -999
2.67 -999 -999
2.69 -999 -999
2.71 -999 -999
2.73 -999 -999
2.75 -999 -999
2.77 -999 -999
2.79 -999 -999
