lead cdf
3.6247739 0.0009765625
11.23268 0.0029296875
12.018264 0.0048828125
14.493465 0.0068359375
15.241744 0.0087890625
15.533578 0.010742188
15.890294 0.012695312
16.256645 0.014648438
17.75748 0.016601562
17.979659 0.018554688
18.152071 0.020507812
18.758168 0.022460938
19.158948 0.024414062
19.698147 0.026367188
20.389463 0.028320312
20.886553 0.030273438
21.903857 0.032226562
22.023369 0.034179688
22.395905 0.036132812
22.459807 0.038085938
22.62214 0.040039062
22.650138 0.041992188
23.983604 0.043945312
24.206733 0.045898438
24.47127 0.047851562
24.771874 0.049804688
24.942075 0.051757812
24.955705 0.053710938
25.347881 0.055664062
25.388495 0.057617188
26.359647 0.059570312
26.469582 0.061523438
26.850155 0.063476562
27.330711 0.065429688
27.504347 0.067382812
27.611217 0.069335938
28.345175 0.071289062
28.664787 0.073242188
29.364807 0.075195312
29.568126 0.077148438
30.048847 0.079101562
30.198937 0.081054688
30.371497 0.083007812
30.511562 0.084960938
31.335492 0.086914062
31.675645 0.088867188
32.174964 0.090820312
32.246428 0.092773438
32.462523 0.094726562
32.504094 0.096679688
33.030931 0.098632812
33.270394 0.10058594
33.473726 0.10253906
33.774993 0.10449219
33.9852 0.10644531
34.024799 0.10839844
34.110847 0.11035156
34.198449 0.11230469
34.230146 0.11425781
34.264706 0.11621094
34.291223 0.11816406
34.311074 0.12011719
34.641764 0.12207031
34.820108 0.12402344
34.88963 0.12597656
35.002361 0.12792969
35.362308 0.12988281
35.565855 0.13183594
35.621943 0.13378906
35.934161 0.13574219
36.020663 0.13769531
36.606358 0.13964844
36.91611 0.14160156
37.167847 0.14355469
37.406798 0.14550781
37.657108 0.14746094
37.881031 0.14941406
38.075319 0.15136719
38.215947 0.15332031
38.621946 0.15527344
39.164556 0.15722656
39.373599 0.15917969
39.431387 0.16113281
39.635219 0.16308594
39.73155 0.16503906
39.786187 0.16699219
40.36781 0.16894531
40.636834 0.17089844
41.324038 0.17285156
41.438317 0.17480469
41.635213 0.17675781
42.119926 0.17871094
42.2724 0.18066406
42.42956 0.18261719
42.581393 0.18457031
42.751364 0.18652344
43.10656 0.18847656
43.321159 0.19042969
43.577476 0.19238281
43.915229 0.19433594
44.121002 0.19628906
44.701687 0.19824219
44.773488 0.20019531
45.049959 0.20214844
45.127859 0.20410156
45.195121 0.20605469
45.308054 0.20800781
45.979413 0.20996094
46.351061 0.21191406
46.466306 0.21386719
46.699551 0.21582031
46.931004 0.21777344
