d fspl veg prx_open prx_forest margin
5 45.199795 2.1613352 -19.199795 -21.36113 112.63887
5.1169865 45.40068 2.2119046 -19.40068 -21.612584 112.38742
5.2367101 45.601565 2.2636571 -19.601565 -21.865222 112.13478
5.3592349 45.80245 2.3166206 -19.80245 -22.119071 111.88093
5.4846265 46.003336 2.3708232 -20.003336 -22.374159 111.62584
5.6129519 46.204221 2.4262941 -20.204221 -22.630515 111.36949
5.7442798 46.405106 2.4830628 -20.405106 -22.888169 111.11183
5.8786804 46.605991 2.5411597 -20.605991 -23.147151 110.85285
6.0162256 46.806877 2.600616 -20.806877 -23.407493 110.59251
6.1569889 47.007762 2.6614633 -21.007762 -23.669225 110.33077
6.3010458 47.208647 2.7237344 -21.208647 -23.932382 110.06762
6.4484732 47.409533 2.7874624 -21.409533 -24.196995 109.80301
6.59935 47.610418 2.8526815 -21.610418 -24.463099 109.5369
6.7537569 47.811303 2.9194265 -21.811303 -24.73073 109.26927
6.9117766 48.012188 2.9877332 -22.012188 -24.999921 109.00008
7.0734934 48.213074 3.057638 -22.213074 -25.270712 108.72929
7.238994 48.413959 3.1291785 -22.413959 -25.543137 108.45686
7.4083669 48.614844 3.2023928 -22.614844 -25.817237 108.18276
7.5817026 48.815729 3.2773201 -22.815729 -26.093049 107.90695
7.7590939 49.016615 3.3540005 -23.016615 -26.370615 107.62938
7.9406357 49.2175 3.432475 -23.2175 -26.649975 107.35003
8.126425 49.418385 3.5127856 -23.418385 -26.931171 107.06883
8.3165614 49.61927 3.5949753 -23.61927 -27.214246 106.78575
8.5111464 49.820156 3.679088 -23.820156 -27.499244 106.50076
8.7102841 50.021041 3.7651687 -24.021041 -27.78621 106.21379
8.9140812 50.221926 3.8532634 -24.221926 -28.07519 105.92481
9.1226466 50.422811 3.9434194 -24.422811 -28.366231 105.63377
9.3360918 50.623697 4.0356847 -24.623697 -28.659381 105.34062
9.554531 50.824582 4.1301088 -24.824582 -28.954691 105.04531
9.7780812 51.025467 4.2267422 -25.025467 -29.252209 104.74779
10.006862 51.226353 4.3256365 -25.226353 -29.551989 104.44801
10.240995 51.427238 4.4268446 -25.427238 -29.854082 104.14592
10.480607 51.628123 4.5304208 -25.628123 -30.158544 103.84146
10.725825 51.829008 4.6364204 -25.829008 -30.465429 103.53457
10.97678 52.029894 4.7449001 -26.029894 -30.774794 103.22521
11.233607 52.230779 4.8559179 -26.230779 -31.086697 102.9133
11.496443 52.431664 4.9695332 -26.431664 -31.401197 102.5988
11.765428 52.632549 5.0858068 -26.632549 -31.718356 102.28164
12.040708 52.833435 5.2048009 -26.833435 -32.038236 101.96176
12.322428 53.03432 5.3265792 -27.03432 -32.360899 101.6391
12.610739 53.235205 5.4512067 -27.235205 -32.686412 101.31359
12.905796 53.43609 5.5787502 -27.43609 -33.014841 100.98516
13.207757 53.636976 5.7092778 -27.636976 -33.346254 100.65375
13.516782 53.837861 5.8428595 -27.837861 -33.68072 100.31928
13.833039 54.038746 5.9795666 -28.038746 -34.018313 99.981687
14.156694 54.239632 6.0695544 -28.239632 -34.309186 99.690814
14.487923 54.440517 6.1526589 -28.440517 -34.593176 99.406824
14.826901 54.641402 6.2369012 -28.641402 -34.878303 99.121697
15.17381 54.842287 6.322297 -28.842287 -35.164584 98.835416
15.528836 55.043173 6.408862 -29.043173 -35.452035 98.547965
15.892169 55.244058 6.4966122 -29.244058 -35.74067 98.25933
16.264002 55.444943 6.585564 -29.444943 -36.030507 97.969493
16.644536 55.645828 6.6757336 -29.645828 -36.321562 97.678438
17.033973 55.846714 6.7671379 -29.846714 -36.613852 97.386148
17.432522 56.047599 6.8597937 -30.047599 -36.907393 97.092607
17.840396 56.248484 6.9537181 -30.248484 -37.202202 96.797798
18.257813 56.449369 7.0489285 -30.449369 -37.498298 96.501702
18.684996 56.650255 7.1454426 -30.650255 -37.795697 96.204303
19.122174 56.85114 7.2432781 -30.85114 -38.094418 95.905582
19.569581 57.052025 7.3424532 -31.052025 -38.394478 95.605522
20.027457 57.252911 7.4429862 -31.252911 -38.695897 95.304103
20.496045 57.453796 7.5448957 -31.453796 -38.998691 95.001309
20.975597 57.654681 7.6482005 -31.654681 -39.302882 94.697118
21.466369 57.855566 7.7529198 -31.855566 -39.608486 94.391514
21.968624 58.056452 7.859073 -32.056452 -39.915525 94.084475
22.48263 58.257337 7.9666795 -32.257337 -40.224016 93.775984
23.008663 58.458222 8.0757595 -32.458222 -40.533982 93.466018
23.547003 58.659107 8.1863329 -32.659107 -40.84544 93.15456
24.097939 58.859993 8.2984203 -32.859993 -41.158413 92.841587
24.661766 59.060878 8.4120424 -33.060878 -41.47292 92.52708
25.238784 59.261763 8.5272203 -33.261763 -41.788983 92.211017
25.829304 59.462648 8.6439751 -33.462648 -42.106624 91.893376
26.433639 59.663534 8.7623286 -33.663534 -42.425862 91.574138
27.052115 59.864419 8.8823025 -33.864419 -42.746722 91.253278
27.685061 60.065304 9.0039192 -34.065304 -43.069223 90.930777
28.332817 60.266189 9.127201 -34.266189 -43.393391 90.606609
28.995728 60.467075 9.2521708 -34.467075 -43.719246 90.280754
29.674149 60.66796 9.3788517 -34.66796 -44.046812 89.953188
30.368444 60.868845 9.5072671 -34.868845 -44.376112 89.623888
31.078983 61.069731 9.6374408 -35.069731 -44.707171 89.292829
31.806147 61.270616 9.7693968 -35.270616 -45.040013 88.959987
32.550325 61.471501 9.9031596 -35.471501 -45.374661 88.625339
33.311914 61.672386 10.038754 -35.672386 -45.71114 88.28886
34.091323 61.873272 10.176205 -35.873272 -46.049476 87.950524
34.888968 62.074157 10.315537 -36.074157 -46.389694 87.610306
35.705275 62.275042 10.456778 -36.275042 -46.73182 87.26818
36.540682 62.475927 10.599952 -36.475927 -47.07588 86.92412
37.395635 62.676813 10.745087 -36.676813 -47.4219 86.5781
38.270591 62.877698 10.892209 -36.877698 -47.769907 86.230093
39.166019 63.078583 11.041345 -37.078583 -48.119928 85.880072
40.082398 63.279468 11.192524 -37.279468 -48.471992 85.528008
41.020218 63.480354 11.345772 -37.480354 -48.826126 85.173874
41.97998 63.681239 11.501118 -37.681239 -49.182357 84.817643
42.962198 63.882124 11.658592 -37.882124 -49.540716 84.459284
43.967397 64.08301 11.818221 -38.08301 -49.901231 84.098769
44.996115 64.283895 11.980037 -38.283895 -50.263932 83.736068
46.048902 64.48478 12.144068 -38.48478 -50.628848 83.371152
47.126321 64.685665 12.310344 -38.685665 -50.99601 83.00399
48.22895 64.886551 12.478898 -38.886551 -51.365449 82.634551
49.357377 65.087436 12.649759 -39.087436 -51.737195 82.262805
50.512205 65.288321 12.82296 -39.288321 -52.111281 81.888719
51.694054 65.489206 12.998532 -39.489206 -52.487739 81.512261
52.903555 65.690092 13.176508 -39.690092 -52.8666 81.1334
54.141355 65.890977 13.356921 -39.890977 -53.247898 80.752102
55.408116 66.091862 13.539804 -40.091862 -53.631667 80.368333
56.704516 66.292747 13.725192 -40.292747 -54.017939 79.982061
58.031248 66.493633 13.913117 -40.493633 -54.40675 79.59325
59.389022 66.694518 14.103616 -40.694518 -54.798134 79.201866
60.778564 66.895403 14.296723 -40.895403 -55.192126 78.807874
62.200618 67.096289 14.492474 -41.096289 -55.588762 78.411238
63.655944 67.297174 14.690905 -41.297174 -55.988079 78.011921
65.145321 67.498059 14.892053 -41.498059 -56.390112 77.609888
66.669545 67.698944 15.095956 -41.698944 -56.7949 77.2051
68.229432 67.89983 15.30265 -41.89983 -57.202479 76.797521
69.825816 68.100715 15.512174 -42.100715 -57.612889 76.387111
71.459551 68.3016 15.724567 -42.3016 -58.026167 75.973833
73.13151 68.502485 15.939868 -42.502485 -58.442353 75.557647
74.84259 68.703371 16.158117 -42.703371 -58.861487 75.138513
76.593704 68.904256 16.379354 -42.904256 -59.28361 74.71639
78.385789 69.105141 16.60362 -43.105141 -59.708762 74.291238
80.219804 69.306026 16.830957 -43.306026 -60.136984 73.863016
82.09673 69.506912 17.061407 -43.506912 -60.568319 73.431681
84.017571 69.707797 17.295012 -43.707797 -61.002809 72.997191
85.983355 69.908682 17.531816 -43.908682 -61.440498 72.559502
87.995133 70.109567 17.771862 -44.109567 -61.881429 72.118571
90.05398 70.310453 18.015195 -44.310453 -62.325647 71.674353
92.161 70.511338 18.261859 -44.511338 -62.773197 71.226803
94.317317 70.712223 18.511901 -44.712223 -63.224124 70.775876
96.524087 70.913109 18.765366 -44.913109 -63.678474 70.321526
98.782489 71.113994 19.022302 -45.113994 -64.136295 69.863705
101.09373 71.37157 19.282755 -45.314879 -64.654325 69.345675
103.45905 71.692986 19.546775 -45.515764 -65.239761 68.760239
105.87971 72.014403 19.81441 -45.71665 -65.828813 68.171187
108.35701 72.335819 20.085709 -45.917535 -66.421528 67.578472
110.89227 72.657236 20.360723 -46.11842 -67.017959 66.982041
113.48685 72.978652 20.639502 -46.319305 -67.618154 66.381846
116.14214 73.300068 20.922099 -46.520191 -68.222167 65.777833
118.85955 73.621485 21.208565 -46.721076 -68.830049 65.169951
121.64054 73.942901 21.498953 -46.921961 -69.441854 64.558146
124.4866 74.264318 21.793317 -47.122846 -70.057634 63.942366
127.39925 74.585734 22.091711 -47.323732 -70.677445 63.322555
130.38004 74.907151 22.394191 -47.524617 -71.301342 62.698658
133.43058 75.228567 22.700813 -47.725502 -71.92938 62.07062
