z T3p0 th3p0 T3p5 th3p5 T4p0 th4p0 T4p5 th4p5 T5p0 th5p0 T6p0 th6p0
0.125 16.824752 0.065298937 77.708428 0.005 146.04445 0.005 271.47768 0.005001248 303.95912 0.005 359.18531 0.005
0.375 13.758022 0.079400606 73.015017 0.095384181 135.88048 0.095663202 215.5827 0.0054846522 256.1899 0.005 309.87464 0.005
0.625 12.954351 0.098966308 70.375835 0.12933551 130.70221 0.13300311 165.34723 0.0084864052 208.66105 0.005 260.82288 0.005
0.875 12.830309 0.10724882 67.515111 0.13291345 125.65807 0.13655532 116.13189 0.005 161.3004 0.005 211.97024 0.005
1.125 12.912249 0.11276832 64.610357 0.13477962 121.21504 0.14259386 112.75343 0.077830244 114.03582 0.005 163.25694 0.005
1.375 13.057611 0.11700636 61.690689 0.13602921 117.30351 0.14873655 111.08204 0.099776093 111.13898 0.070766861 114.6232 0.005
1.625 13.221748 0.12048678 58.780146 0.1369344 113.88258 0.15474939 109.48125 0.1070239 109.64557 0.10700488 111.64858 0.070814357
1.875 13.390618 0.12346109 55.90192 0.13763471 110.90491 0.16051484 108.01087 0.11541743 108.17416 0.11420089 110.11228 0.10833548
2.125 13.559826 0.12607118 53.078493 0.13822384 108.31529 0.16592451 106.66422 0.12392964 106.83335 0.12333988 108.60448 0.11432028
2.375 13.728023 0.12840557 50.331146 0.13876708 106.05122 0.17087079 105.43606 0.1324026 105.61421 0.13218391 107.24585 0.12223078
2.625 13.894808 0.13052339 47.679293 0.13930877 104.04344 0.17524585 104.31809 0.14068372 104.51273 0.14052557 106.02456 0.13009154
2.875 14.060072 0.13246615 45.139809 0.13987721 102.21638 0.17893777 103.29823 0.14863865 103.52061 0.14828789 104.93463 0.13767139
3.125 14.223792 0.13426419 42.726486 0.14048831 100.48811 0.18181541 102.35989 0.15614685 102.6247 0.15542515 103.96758 0.14487654
3.375 14.385962 0.13594032 40.449702 0.14114868 98.765836 0.18365864 101.48131 0.16308756 101.80701 0.16190057 103.11188 0.15164774
3.625 14.546583 0.13751217 38.316339 0.14185832 97.001809 0.18463324 100.6349 0.16932511 101.04475 0.1676756 102.35299 0.15794165
3.875 14.70565 0.13899366 36.329928 0.14261289 95.17795 0.18495078 99.786461 0.17469862 100.31024 0.17270161 101.6735 0.16372277
4.125 14.863157 0.14039595 34.490986 0.14340558 93.299074 0.18484723 98.905548 0.17911361 99.570577 0.17691109 101.05324 0.16895751
4.375 15.019094 0.14172817 32.797467 0.14422854 91.368378 0.18446157 97.987636 0.18271358 98.810493 0.18040492 100.46916 0.17360825
4.625 15.17345 0.14299785 31.245267 0.1450738 89.388201 0.18387812 97.027546 0.18558546 98.026673 0.18332388 99.895059 0.17762683
4.875 15.326214 0.14421135 29.828726 0.14593395 87.360507 0.18314942 96.027188 0.18784387 97.216338 0.18576122 99.307071 0.1809979
5.125 15.477371 0.145374 28.541083 0.14680242 85.287193 0.18230965 94.988281 0.18958047 96.380879 0.18780697 98.705299 0.18387513
5.375 15.626909 0.14649041 27.374878 0.14767365 83.170307 0.18138268 93.912358 0.19087286 95.521479 0.18952489 98.087514 0.18634369
5.625 15.774814 0.14756453 26.32228 0.14854306 81.012194 0.18038688 92.800772 0.19178834 94.639179 0.19096216 97.452844 0.18847129
5.875 15.921072 0.14859981 25.375337 0.14940701 78.815624 0.17933801 91.654697 0.19238564 93.734916 0.19215507 96.802116 0.19031724
6.125 16.065669 0.14959928 24.526178 0.15026266 76.583886 0.1782508 90.475139 0.19271579 92.809553 0.19313245 96.13604 0.1919254
6.375 16.208595 0.15056559 23.767148 0.15110786 74.32088 0.17713979 89.262964 0.19282273 91.863894 0.19391794 95.455235 0.19332913
6.625 16.349834 0.1515011 23.090906 0.15194104 72.031191 0.17601972 88.018921 0.19274393 90.898698 0.19453141 94.760254 0.19455444
6.875 16.489378 0.15240794 22.490487 0.15276108 69.720155 0.17490558 86.743681 0.19251102 89.914686 0.19499 94.0516 0.19562207
7.125 16.627213 0.15328798 21.959336 0.15356724 67.393906 0.17381251 85.437874 0.19215048 88.912551 0.19530874 93.329736 0.19654884
7.375 16.76333 0.15414293 21.491325 0.15435906 65.059395 0.17275551 84.102125 0.19168445 87.892958 0.19550109 92.595095 0.19734866
7.625 16.897719 0.15497433 21.080754 0.15513633 62.724373 0.17174912 82.737093 0.19113139 86.856553 0.19557925 91.848089 0.19803318
7.875 17.030373 0.15578356 20.722344 0.15589899 60.39734 0.17080692 81.343508 0.19050682 85.803964 0.19555444 91.08911 0.19861234
8.125 17.161282 0.1565719 20.411218 0.15664711 58.08743 0.16994111 79.922201 0.18982395 84.735805 0.19543703 90.318534 0.19909472
8.375 17.29044 0.15734051 20.142886 0.15738088 55.804259 0.16916203 78.474138 0.18909417 83.652682 0.1952367 89.53673 0.19948783
8.625 17.41784 0.15809044 19.913223 0.15810054 53.557716 0.16847776 77.000443 0.18832755 82.555192 0.19496253 88.744056 0.19979836
