t Tsurf Tprobe theta lnR dTdt dlnR
0 14.928932 19.720946 0.1508583 7.654459 -0.26513015 0.00073622114
0.0097222222 14.910957 19.705559 0.1508537 7.6548919 -0.26590544 0.0007360366
0.019444444 14.893028 19.690196 0.1508491 7.6553206 -0.26671884 0.00073581174
0.029166667 14.875145 19.674853 0.1508445 7.6557494 -0.26753652 0.00073554633
0.038888889 14.857309 19.659512 0.15083991 7.6561784 -0.26833362 0.00073524182
0.048611111 14.839518 19.644135 0.15083532 7.6566077 -0.26909303 0.0007349005
0.058333333 14.821774 19.628677 0.15083072 7.6570369 -0.26980377 0.00073452509
0.068055556 14.804077 19.613108 0.15082612 7.6574661 -0.27045948 0.00073411839
0.077777778 14.786426 19.59741 0.15082151 7.6578951 -0.27105713 0.00073368321
0.0875 14.768821 19.581582 0.15081689 7.6583238 -0.27178852 0.00073284461
0.097222222 14.751264 19.565633 0.15081227 7.658752 -0.2727757 0.00073213238
0.10694444 14.733754 19.549576 0.15080764 7.6591798 -0.27377937 0.00073143059
0.11666667 14.71629 19.533429 0.15080301 7.659607 -0.27478423 0.00073062744
0.12638889 14.698874 19.517209 0.15079837 7.6600335 -0.27575634 0.00072971698
0.13611111 14.681505 19.500933 0.15079374 7.6604594 -0.27664879 0.00072871023
0.14583333 14.664184 19.484616 0.1507891 7.6608846 -0.2774182 0.00072762111
0.15555556 14.64691 19.468272 0.15078446 7.6613091 -0.27803587 0.00072646295
0.16527778 14.629684 19.451912 0.15077983 7.6617328 -0.27848965 0.00072524769
0.175 14.612505 19.435547 0.15077519 7.6621557 -0.27878073 0.00072398571
0.18472222 14.595374 19.419185 0.15077056 7.6625778 -0.27891893 0.00072268596
0.19444444 14.578292 19.402833 0.15076594 7.6629991 -0.2789188 0.0007213561
0.20416667 14.561257 19.386498 0.15076132 7.6634196 -0.27879677 0.00072000263
0.21388889 14.544271 19.370184 0.1507567 7.6638393 -0.27856936 0.00071863108
0.22361111 14.527333 19.353896 0.15075208 7.6642582 -0.27825217 0.00071724615
0.23333333 14.510443 19.337637 0.15074748 7.6646762 -0.27785937 0.00071585178
0.24305556 14.493602 19.32141 0.15074287 7.6650933 -0.27740352 0.0007144513
0.25277778 14.476809 19.305217 0.15073827 7.6655097 -0.27689555 0.00071304751
0.2625 14.460065 19.289061 0.15073368 7.6659252 -0.27634488 0.00071164276
0.27222222 14.44337 19.272941 0.15072909 7.6663399 -0.27575954 0.00071023901
0.28194444 14.426724 19.25686 0.15072451 7.6667538 -0.27514635 0.00070883786
0.29166667 14.410127 19.240819 0.15071993 7.6671668 -0.27451108 0.00070744067
0.30138889 14.393579 19.224818 0.15071536 7.667579 -0.27385856 0.00070604852
0.31111111 14.377081 19.208857 0.15071079 7.6679904 -0.27319286 0.00070466232
0.32083333 14.360632 19.192937 0.15070623 7.668401 -0.27251738 0.00070328277
0.33055556 14.344232 19.177058 0.15070168 7.6688108 -0.27183494 0.00070191043
0.34027778 14.327882 19.16122 0.15069713 7.6692198 -0.27114791 0.00070054575
