npv count
-10.822177 125
-9.5899707 180
-8.3577646 307
-7.1255584 429
-5.8933522 563
-4.6611461 720
-3.4289399 790
-2.1967337 848
-0.96452758 937
0.26767859 932
1.4998848 994
2.7320909 896
3.9642971 924
5.1965033 871
6.4287094 840
7.6609156 756
8.8931218 725
10.125328 704
11.357534 618
12.58974 570
13.821946 543
15.054153 474
16.286359 445
17.518565 428
18.750771 431
19.982977 357
21.215183 348
22.44739 297
23.679596 301
24.911802 241
26.144008 219
27.376214 196
28.60842 146
29.840627 175
31.072833 151
32.305039 126
33.537245 112
34.769451 126
36.001657 89
37.233864 100
38.46607 74
39.698276 63
40.930482 77
42.162688 58
43.394894 67
44.627101 50
45.859307 59
47.091513 47
48.323719 36
49.555925 39
50.788131 28
52.020338 29
53.252544 19
54.48475 21
55.716956 27
56.949162 17
58.181368 20
59.413575 15
60.645781 9
61.877987 11
