fpr_fusion tpr_fusion fpr_beta tpr_beta fpr_gamma tpr_gamma
0 0.0009765625 0 0.0009765625 0 0.0009765625
0 0.0068359375 0 0.0068359375 0 0.0068359375
0 0.012695312 0 0.012695312 0 0.012695312
0 0.018554688 0 0.018554688 0 0.018554688
0 0.024414062 0 0.024414062 0 0.024414062
0 0.030273438 0 0.030273438 0 0.030273438
0 0.036132812 0 0.036132812 0 0.036132812
0 0.041992188 0 0.041992188 0 0.041992188
0 0.047851562 0 0.047851562 0 0.047851562
0 0.053710938 0 0.053710938 0 0.053710938
0 0.059570312 0 0.059570312 0 0.059570312
0 0.065429688 0 0.065429688 0 0.065429688
0 0.071289062 0 0.071289062 0 0.071289062
0 0.077148438 0 0.077148438 0 0.077148438
0 0.083007812 0 0.083007812 0 0.083007812
0 0.088867188 0 0.088867188 0 0.088867188
0 0.094726562 0 0.094726562 0 0.094726562
0 0.10058594 0 0.10058594 0 0.10058594
0 0.10644531 0 0.10644531 0 0.10644531
0 0.11230469 0 0.11230469 0 0.11230469
0 0.11816406 0 0.11816406 0 0.11816406
0 0.12402344 0 0.12402344 0 0.12402344
0 0.12988281 0 0.12988281 0 0.12988281
0 0.13574219 0 0.13574219 0 0.13574219
0 0.14160156 0 0.14160156 0 0.14160156
0 0.14746094 0 0.14746094 0 0.14746094
0 0.15332031 0 0.15332031 0 0.15332031
0 0.15917969 0 0.15917969 0 0.15917969
0 0.16503906 0 0.16503906 0 0.16503906
0 0.17089844 0 0.17089844 0 0.17089844
0 0.17675781 0 0.17675781 0 0.17675781
0 0.18261719 0 0.18261719 0 0.18261719
0 0.18847656 0 0.18847656 0 0.18847656
0 0.19433594 0 0.19433594 0 0.19433594
0 0.20019531 0 0.20019531 0 0.20019531
0 0.20605469 0 0.20605469 0 0.20605469
0 0.21191406 0 0.21191406 0 0.21191406
0 0.21777344 0 0.21777344 0 0.21777344
0 0.22363281 0 0.22363281 0 0.22363281
0 0.22949219 0 0.22949219 0 0.22949219
0 0.23535156 0 0.23535156 0 0.23535156
0 0.24121094 0 0.24121094 0 0.24121094
0 0.24707031 0 0.24707031 0 0.24707031
0 0.25292969 0 0.25292969 0 0.25292969
0 0.25878906 0 0.25878906 0 0.25878906
0 0.26464844 0 0.26464844 0 0.26464844
0 0.27050781 0 0.27050781 0 0.27050781
0 0.27636719 0 0.27636719 0 0.27636719
0 0.28222656 0 0.28222656 0 0.28222656
0 0.28808594 0 0.28808594 0 0.28808594
0 0.29394531 0 0.29394531 0 0.29394531
0 0.29980469 0 0.29980469 0 0.29980469
0 0.30566406 0 0.30566406 0 0.30566406
0 0.31152344 0 0.31152344 0 0.31152344
0 0.31738281 0 0.31738281 0 0.31738281
0 0.32324219 0 0.32324219 0 0.32324219
0 0.32910156 0 0.32910156 0 0.32910156
0 0.33496094 0 0.33496094 0 0.33496094
0 0.34082031 0 0.34082031 0 0.34082031
0 0.34667969 0 0.34667969 0 0.34667969
0 0.35253906 0 0.35253906 0 0.35253906
0 0.35839844 0 0.35839844 0 0.35839844
0 0.36425781 0 0.36425781 0 0.36425781
0 0.37011719 0 0.37011719 0 0.37011719
0 0.37597656 0 0.37597656 0 0.37597656
0 0.38183594 0 0.38183594 0 0.38183594
0 0.38769531 0 0.38769531 0 0.38769531
0 0.39355469 0 0.39355469 0 0.39355469
0 0.39941406 0 0.39941406 0 0.39941406
0 0.40527344 0 0.40527344 0 0.40527344
0 0.41113281 0 0.41113281 0 0.41113281
0 0.41699219 0 0.41699219 0 0.41699219
0 0.42285156 0 0.42285156 0 0.42285156
0 0.42871094 0 0.42871094 0 0.42871094
0 0.43457031 0 0.43457031 0 0.43457031
0 0.44042969 0 0.44042969 0 0.44042969
0 0.44628906 0 0.44628906 0 0.44628906
0 0.45214844 0 0.45214844 0 0.45214844
0 0.45800781 0 0.45800781 0 0.45800781
0 0.46386719 0 0.46386719 0 0.46386719
0 0.46972656 0 0.46972656 0 0.46972656
0 0.47558594 0 0.47558594 0 0.47558594
0 0.48144531 0 0.48144531 0 0.48144531
0 0.48730469 0 0.48730469 0 0.48730469
0 0.49316406 0 0.49316406 0 0.49316406
0 0.49902344 0 0.49902344 0 0.49902344
0 0.50488281 0 0.50488281 0 0.50488281
0 0.51074219 0 0.51074219 0 0.51074219
0 0.51660156 0 0.51660156 0 0.51660156
0 0.52246094 0 0.52246094 0 0.52246094
0 0.52832031 0 0.52832031 0 0.52832031
0 0.53417969 0 0.53417969 0 0.53417969
0 0.54003906 0 0.54003906 0 0.54003906
0 0.54589844 0 0.54589844 0 0.54589844
0 0.55175781 0 0.55175781 0 0.55175781
0 0.55761719 0 0.55761719 0 0.55761719
0 0.56347656 0 0.56347656 0 0.56347656
0 0.56933594 0 0.56933594 0 0.56933594
0 0.57519531 0 0.57519531 0 0.57519531
0 0.58105469 0 0.58105469 0 0.58105469
0 0.58691406 0 0.58691406 0 0.58691406
0 0.59277344 0 0.59277344 0 0.59277344
0 0.59863281 0 0.59863281 0 0.59863281
0 0.60449219 0 0.60449219 0 0.60449219
0 0.61035156 0 0.61035156 0 0.61035156
0 0.61621094 0 0.61621094 0 0.61621094
0 0.62207031 0 0.62207031 0 0.62207031
0 0.62792969 0 0.62792969 0 0.62792969
0 0.63378906 0 0.63378906 0 0.63378906
0 0.63964844 0 0.63964844 0 0.63964844
0 0.64550781 0 0.64550781 0 0.64550781
0 0.65136719 0 0.65136719 0 0.65136719
0 0.65722656 0 0.65722656 0 0.65722656
0 0.66308594 0 0.66308594 0 0.66308594
0 0.66894531 0 0.66894531 0 0.66894531
0 0.67480469 0 0.67480469 0 0.67480469
0 0.68066406 0 0.68066406 0 0.68066406
0 0.68652344 0 0.68652344 0 0.68652344
0 0.69238281 0 0.69238281 0 0.69238281
0 0.69824219 0 0.69824219 0 0.69824219
0 0.70410156 0 0.70410156 0 0.70410156
0 0.70996094 0 0.70996094 0 0.70996094
0 0.71582031 0 0.71582031 0 0.71582031
0 0.72167969 0 0.72167969 0 0.72167969
0 0.72753906 0 0.72753906 0 0.72753906
0 0.73339844 0 0.73339844 0 0.73339844
0 0.73925781 0 0.73925781 0 0.73925781
0 0.74511719 0 0.74511719 0 0.74511719
0 0.75097656 0 0.75097656 0 0.75097656
0 0.75683594 0 0.75683594 0 0.75683594
0 0.76269531 0 0.76269531 0 0.76269531
0 0.76855469 0 0.76855469 0 0.76855469
0 0.77441406 0 0.77441406 0 0.77441406
0 0.78027344 0 0.78027344 0 0.78027344
0 0.78613281 0 0.78613281 0 0.78613281
0 0.79199219 0 0.79199219 0 0.79199219
0 0.79785156 0 0.79785156 0 0.79785156
0 0.80371094 0 0.80371094 0 0.80371094
0 0.80957031 0 0.80957031 0 0.80957031
0 0.81542969 0 0.81542969 0 0.81542969
0 0.82128906 0 0.82128906 0 0.82128906
0 0.82714844 0 0.82714844 0 0.82714844
0 0.83300781 0 0.83300781 0 0.83300781
0 0.83886719 0 0.83886719 0 0.83886719
0 0.84472656 0 0.84472656 0 0.84472656
0 0.85058594 0 0.85058594 0 0.85058594
0 0.85644531 0 0.85644531 0 0.85644531
0 0.86230469 0 0.86230469 0 0.86230469
0 0.86816406 0 0.86816406 0 0.86816406
0 0.87402344 0 0.87402344 0 0.87402344
0 0.87988281 0 0.87988281 0 0.87988281
0 0.88574219 0 0.88574219 0 0.88574219
0 0.89160156 0 0.89160156 0 0.89160156
0 0.89746094 0 0.89746094 0 0.89746094
0 0.90332031 0 0.90332031 0 0.90332031
