t Tsurf Tprobe theta dTdt dlnR
0 38 39.541497 0.13458209 -0.081064235 0.00033328793
0.038888889 38 39.522489 0.13457037 -0.08113048 0.00028606274
0.077777778 38 39.503667 0.1345587 -0.080738828 0.00028556617
0.11666667 38 39.484697 0.13454701 -0.07985914 0.00030057823
0.15555556 38 39.466063 0.13453539 -0.078962395 0.0002259447
0.19444444 38 39.44791 0.13452389 -0.077445504 0.00022368255
0.23333333 38 39.429936 0.13451243 -0.075712567 0.00022164784
0.27222222 38 39.412417 0.13450107 -0.074151396 0.00017558515
0.31111111 38 39.395378 0.13448982 -0.072508206 0.00019851317
0.35 38 39.3787 0.13447866 -0.071204516 0.00021297969
0.38888889 38 39.362299 0.13446756 -0.070381403 0.00023066213
0.42777778 38 39.346015 0.13445649 -0.069714831 0.00023004287
0.46666667 38 39.32972 0.13444544 -0.068952331 0.00021364145
0.50555556 38 39.313623 0.13443443 -0.067958574 0.00018599349
0.54444444 38 39.297889 0.13442351 -0.066651261 0.00016530405
0.58333333 38 39.282552 0.13441268 -0.065293661 0.00016225159
0.62222222 38 39.267516 0.13440192 -0.064084086 0.00016740444
0.66111111 38 39.25271 0.13439122 -0.063155015 0.00017601807
0.7 38 39.238099 0.13438057 -0.06246812 0.00017831429
0.73888889 38 39.223632 0.13436996 -0.061834695 0.00018756272
0.77777778 38 39.209224 0.13435937 -0.061246538 0.00018653623
0.81666667 38 39.194999 0.13434883 -0.060561564 0.00016762732
0.85555556 38 39.180921 0.13433834 -0.059690482 0.00016589626
0.89444444 38 39.167089 0.1343279 -0.058810522 0.00016210583
0.93333333 38 39.153505 0.13431752 -0.057980445 0.00016049993
0.97222222 38 39.140115 0.1343072 -0.057228811 0.0001766915
1.0111111 38 39.126827 0.13429691 -0.056635126 0.00017600497
1.05 38 39.113686 0.13428665 -0.056063582 0.00016322
1.0888889 38 39.10065 0.13427644 -0.055369362 0.00016165845
1.1277778 38 39.087775 0.13426626 -0.054617793 0.00014299972
1.1666667 38 39.075138 0.13425614 -0.053828259 0.00014070001
1.2055556 38 39.062699 0.13424608 -0.053037997 0.00013902826
1.2444444 38 39.050421 0.13423606 -0.052362002 0.00014975369
1.2833333 38 39.038285 0.13422608 -0.05185427 0.00016581394
1.3222222 38 39.026277 0.13421614 -0.051465208 0.00016527583
1.3611111 38 39.01432 0.13420622 -0.051009686 0.00016445385
1.4 38 39.002391 0.13419631 -0.050470972 0.00015147617
1.4388889 38 38.990658 0.13418646 -0.049832572 0.00013333269
1.4777778 38 38.979145 0.13417666 -0.049074286 0.00013141991
1.5166667 38 38.967804 0.13416691 -0.048369408 0.00012996521
1.5555556 38 38.956603 0.1341572 -0.047776549 0.00013076918
1.5944444 38 38.945523 0.13414753 -0.047284306 0.00015163411
1.6333333 38 38.934559 0.13413789 -0.04694963 0.00015134116
1.6722222 38 38.923684 0.13412828 -0.046612154 0.00015070514
1.7111111 38 38.912797 0.13411868 -0.0461865 0.00014994459
1.75 38 38.902011 0.13410911 -0.045695492 0.00012542444
1.7888889 38 38.891428 0.13409959 -0.045072266 0.00012351192
1.8277778 38 38.881017 0.13409012 -0.044411453 0.00013791332
1.8666667 38 38.870738 0.13408069 -0.043897209 0.00013743209
1.9055556 38 38.860572 0.1340713 -0.043514377 0.00013673736
1.9444444 38 38.850474 0.13406192 -0.043122976 0.00013597266
1.9833333 38 38.840409 0.13405257 -0.04270488 0.00013518128
2.0222222 38 38.830482 0.13404326 -0.042251997 0.00012811567
2.0611111 38 38.8207 0.13403399 -0.041747533 0.00012700665
2.1 38 38.811037 0.13402475 -0.04130857 0.00012599405
2.1388889 38 38.801458 0.13401554 -0.040895239 0.00012504138
2.1777778 38 38.791934 0.13400636 -0.040485396 0.00012412892
2.2166667 38 38.782528 0.13399721 -0.0400675 0.00011310343
2.2555556 38 38.773243 0.13398809 -0.039611566 0.00011217458
2.2944444 38 38.76406 0.13397901 -0.039182759 0.00011129878
2.3333333 38 38.754968 0.13396996 -0.038795538 0.0001104555
2.3722222 38 38.745961 0.13396094 -0.038432912 0.00010963456
2.4111111 38 38.737036 0.13395194 -0.038082867 0.00010883062
2.45 38 38.728191 0.13394297 -0.037739612 0.00010804074
2.4888889 38 38.719425 0.13393403 -0.037400852 0.00012217304
2.5277778 38 38.710738 0.13392512 -0.03711253 0.0001314456
2.5666667 38 38.702129 0.13391624 -0.03689914 0.00013096316
2.6055556 38 38.693564 0.13390737 -0.036633455 0.0001304327
2.6444444 38 38.68499 0.13389852 -0.036310966 0.00012988151
2.6833333 38 38.676536 0.1338897 -0.035940733 0.0001044703
2.7222222 38 38.668221 0.13388092 -0.03547084 0.00010361237
2.7611111 38 38.660014 0.13387217 -0.035031109 0.00010282839
2.8 38 38.651893 0.13386345 -0.034663632 0.00010208586
2.8388889 38 38.643847 0.13385476 -0.034340267 0.00010136932
2.8777778 38 38.635872 0.13384609 -0.034038832 0.00010067091
2.9166667 38 38.627965 0.13383745 -0.033748255 0.00011104415
2.9555556 38 38.620124 0.13382884 -0.033481923 0.00011047612
2.9944444 38 38.612349 0.13382024 -0.03324365 0.00010987901
3.0333333 38 38.604627 0.13381167 -0.032984517 0.00010927663
3.0722222 38 38.596939 0.13380312 -0.032704832 0.0001086769
3.1111111 38 38.589334 0.13379459 -0.032408149 9.694449e-05
3.15 38 38.581818 0.1337861 -0.032076576 9.6286051e-05
3.1888889 38 38.574378 0.13377763 -0.031761538 9.5654589e-05
3.2277778 38 38.567004 0.13376918 -0.031476241 9.5039579e-05
3.2666667 38 38.559693 0.13376076 -0.031209137 9.4436186e-05
3.3055556 38 38.552442 0.13375236 -0.030951674 9.3842085e-05
3.3444444 38 38.54525 0.13374398 -0.030701135 0.00011838109
3.3833333 38 38.538116 0.13373562 -0.030505598 0.00011812975
3.4222222 38 38.53104 0.13372729 -0.030340278 0.00011782
3.4611111 38 38.523979 0.13371897 -0.030138564 0.0001356785
3.5 38 38.516933 0.13371067 -0.029952637 0.00012061009
3.5388889 38 38.509981 0.13370239 -0.029722139 0.00011036941
3.5777778 38 38.503078 0.13369413 -0.029403649 0.00012206276
3.6166667 38 38.496237 0.1336859 -0.029135123 0.00010407172
3.6555556 38 38.489489 0.1336777 -0.028864324 0.00010345511
3.6944444 38 38.482788 0.13366951 -0.028564861 0.00010290536
3.7333333 38 38.47614 0.13366135 -0.028292452 9.0495261e-05
3.7722222 38 38.469575 0.13365321 -0.02801833 8.9501535e-05
3.8111111 38 38.463079 0.13364509 -0.027741147 0.00010065341
3.85 38 38.456641 0.133637 -0.027518609 0.00010038237
3.8888889 38 38.450253 0.13362893 -0.027337514 0.00010004272
3.9277778 38 38.443897 0.13362087 -0.027158385 0.00011762854
3.9666667 38 38.437566 0.13361283 -0.027010719 0.00011597368
4.0055556 38 38.431293 0.13360481 -0.02683596 0.00010561067
4.0444444 38 38.425042 0.13359681 -0.026603633 0.00010514695
4.0833333 38 38.418847 0.13358882 -0.026366507 8.7058936e-05
4.1222222 38 38.412731 0.13358086 -0.026105512 8.5813776e-05
4.1611111 38 38.40668 0.13357293 -0.025847378 8.4986207e-05
4.2 38 38.400681 0.13356501 -0.025627418 8.4314683e-05
4.2388889 38 38.394726 0.13355711 -0.025433423 8.3722616e-05
4.2777778 38 38.388814 0.13354923 -0.025252058 8.3177436e-05
4.3166667 38 38.382943 0.13354136 -0.025076373 8.2662794e-05
4.3555556 38 38.377112 0.13353352 -0.024903269 8.2169603e-05
4.3944444 38 38.371322 0.13352569 -0.024731469 8.1692443e-05
4.4333333 38 38.365571 0.13351788 -0.024560517 8.1227899e-05
4.4722222 38 38.35986 0.13351008 -0.024390308 8.077372e-05
4.5111111 38 38.354189 0.1335023 -0.024220889 8.0328368e-05
4.55 38 38.348558 0.13349454 -0.024052357 7.9890761e-05
4.5888889 38 38.342965 0.1334868 -0.023885809 0.00010279425
4.6277778 38 38.337412 0.13347907 -0.023753035 0.00010267364
4.6666667 38 38.331897 0.13347136 -0.023637146 0.00010249822
4.7055556 38 38.326394 0.13346366 -0.023492843 0.00010229441
4.7444444 38 38.320904 0.13345597 -0.02332708 8.8523527e-05
4.7833333 38 38.315479 0.1334483 -0.023132652 7.8286048e-05
4.8222222 38 38.310117 0.13344066 -0.022903639 7.7794644e-05
4.8611111 38 38.304804 0.13343303 -0.022699688 7.7339241e-05
4.9 38 38.299531 0.13342542 -0.022524902 7.6906095e-05
4.9388889 38 38.294295 0.13341782 -0.022366319 7.6488081e-05
4.9777778 38 38.289095 0.13341024 -0.022215619 7.6081251e-05
5.0166667 38 38.283929 0.13340268 -0.022068793 7.5683285e-05
5.0555556 38 38.278797 0.13339513 -0.021924047 7.5292747e-05
5.0944444 38 38.273698 0.13338759 -0.021780612 7.49087e-05
5.1333333 38 38.268633 0.13338007 -0.02163819 7.4530505e-05
5.1722222 38 38.2636 0.13337257 -0.021496687 7.4157708e-05
5.2111111 38 38.258601 0.13336508 -0.021356103 7.3789973e-05
5.25 38 38.253635 0.1333576 -0.021216473 7.3427045e-05
5.2888889 38 38.2487 0.13335014 -0.021077843 7.3068723e-05
5.3277778 38 38.243798 0.1333427 -0.020940257 7.2714844e-05
5.3666667 38 38.238929 0.13333526 -0.020803756 7.2365274e-05
5.4055556 38 38.23409 0.13332785 -0.020668374 7.2019899e-05
5.4444444 38 38.229284 0.13332044 -0.020538725 0.00010150171
5.4833333 38 38.224508 0.13331305 -0.020443094 0.00010147986
5.5222222 38 38.219761 0.13330568 -0.02034591 0.0001014232
