t Tsurf Tprobe theta dTdt dlnR
0 13.514719 19.272864 0.15139661 -0.32066972 0.00085363824
0.038888889 13.42877 19.198491 0.15137686 -0.32330133 0.00085259656
0.077777778 13.343711 19.123383 0.15135711 -0.32546053 0.00085090184
0.11666667 13.259548 19.046807 0.15133732 -0.32846247 0.00084773694
0.15555556 13.176292 18.969344 0.15131751 -0.33076928 0.00084315474
0.19444444 13.09395 18.891732 0.15129776 -0.33103636 0.00083767115
0.23333333 13.012531 18.814436 0.15127809 -0.32962769 0.00083181446
0.27222222 12.932044 18.737695 0.15125852 -0.32727312 0.00082585215
0.31111111 12.852497 18.661617 0.15123904 -0.32447337 0.00081991664
0.35 12.773898 18.586244 0.15121968 -0.32150368 0.00081407005
0.38888889 12.696255 18.511583 0.15120041 -0.31850346 0.00080833695
0.42777778 12.619577 18.437624 0.15118124 -0.31553899 0.00080272199
0.46666667 12.543871 18.364352 0.15116218 -0.31263857 0.00079721952
0.50555556 12.469145 18.291748 0.1511432 -0.30981107 0.00079181889
0.54444444 12.395407 18.219794 0.15112432 -0.30705571 0.00078650741
0.58333333 12.322665 18.148474 0.15110553 -0.30436711 0.00078127197
0.62222222 12.250925 18.077773 0.15108683 -0.30173801 0.00077609984
0.66111111 12.180197 18.007677 0.15106822 -0.29916061 0.00077097917
0.7 12.110486 17.938177 0.15104969 -0.29662729 0.00076589911
0.73888889 12.0418 17.869262 0.15103124 -0.29413094 0.00076084986
0.77777778 11.974146 17.800924 0.15101287 -0.29166508 0.00075582267
0.81666667 11.907532 17.733158 0.15099459 -0.28922391 0.0007508097
0.85555556 11.841964 17.665958 0.15097638 -0.28680226 0.00074580395
0.89444444 11.777448 17.599321 0.15095825 -0.28439558 0.00074079914
0.93333333 11.713992 17.533243 0.1509402 -0.28199984 0.0007357896
0.97222222 11.651603 17.467723 0.15092222 -0.27961151 0.00073077012
1.0111111 11.590286 17.402759 0.15090432 -0.27722746 0.0007257359
1.05 11.530048 17.338351 0.15088649 -0.27484497 0.00072068248
1.0888889 11.470895 17.274498 0.15086874 -0.27246163 0.00071560562
1.1277778 11.412834 17.211201 0.15085106 -0.2700753 0.00071050132
1.1666667 11.35587 17.148461 0.15083345 -0.26768411 0.00070536578
1.2055556 11.300009 17.08628 0.15081591 -0.26528639 0.00070019539
1.2444444 11.245258 17.024659 0.15079844 -0.26288067 0.00069498678
1.2833333 11.191621 16.9636 0.15078104 -0.26046563 0.00068973679
1.3222222 11.139105 16.903105 0.15076371 -0.2580401 0.0006844425
1.3611111 11.087714 16.843178 0.15074645 -0.25560303 0.00067910125
1.4 11.037455 16.78382 0.15072926 -0.25315347 0.00067371061
1.4388889 10.988331 16.725036 0.15071213 -0.25069058 0.00066826844
1.4777778 10.940349 16.666827 0.15069508 -0.2482136 0.00066277283
1.5166667 10.893514 16.609198 0.15067808 -0.24572185 0.00065722208
1.5555556 10.84783 16.552153 0.15066116 -0.24321472 0.00065161475
1.5944444 10.803301 16.495694 0.15064429 -0.24069165 0.00064594957
1.6333333 10.759934 16.439825 0.1506275 -0.23815217 0.00064022547
1.6722222 10.717731 16.384551 0.15061076 -0.23559585 0.00063444155
1.7111111 10.676698 16.329876 0.15059409 -0.23302231 0.00062859706
1.75 10.636838 16.275803 0.15057748 -0.23043123 0.00062269138
1.7888889 10.598157 16.222336 0.15056094 -0.22782231 0.00061672402
1.8277778 10.560657 16.169481 0.15054446 -0.22519532 0.00061069461
1.8666667 10.524343 16.11724 0.15052804 -0.22255006 0.00060460287
1.9055556 10.489218 16.065619 0.15051168 -0.21988637 0.00059844861
1.9444444 10.455287 16.014621 0.15049538 -0.21720411 0.00059223173
1.9833333 10.422552 15.964252 0.15047914 -0.21450319 0.00058595221
2.0222222 10.391017 15.914514 0.15046296 -0.21178355 0.00057961008
2.0611111 10.360686 15.865414 0.15044684 -0.20904513 0.00057320546
2.1 10.331561 15.816955 0.15043078 -0.20628792 0.00056673851
2.1388889 10.303645 15.769141 0.15041478 -0.20351194 0.00056020945
2.1777778 10.276942 15.721977 0.15039884 -0.20071722 0.00055361854
2.2166667 10.251454 15.675468 0.15038296 -0.1979038 0.00054696612
2.2555556 10.227184 15.629617 0.15036713 -0.19507175 0.00054025255
2.2944444 10.204134 15.584429 0.15035136 -0.19222116 0.00053347824
2.3333333 10.182307 15.539909 0.15033564 -0.18935214 0.00052664364
2.3722222 10.161705 15.49606 0.15031999 -0.18646481 0.00051974924
2.4111111 10.142329 15.452887 0.15030439 -0.1835593 0.00051279558
2.45 10.124183 15.410394 0.15028884 -0.18063575 0.00050578323
2.4888889 10.107268 15.368585 0.15027335 -0.17769432 0.00049871279
2.5277778 10.091586 15.327465 0.15025792 -0.17473519 0.00049158492
2.5666667 10.077138 15.287037 0.15024254 -0.17175855 0.00048440028
2.6055556 10.063926 15.247306 0.15022721 -0.16876457 0.0004771596
2.6444444 10.051951 15.208275 0.15021194 -0.16575347 0.00046986363
2.6833333 10.041214 15.16995 0.15019673 -0.16272546 0.00046251315
