dip Kxx Kxz Kzz misalign
0 1.6 0 0.85 0
0.5 1.5999429 -0.0065446524 0.85005711 0.44111572
1 1.5997716 -0.013087311 0.85022844 0.8818671
1.5 1.5994861 -0.019625984 0.85051392 1.3218908
2 1.5990865 -0.026158678 0.85091348 1.7608253
2.5 1.598573 -0.032683404 0.85142699 2.1983119
3 1.5979457 -0.039198174 0.85205429 2.6339959
3.5 1.5972048 -0.045701004 0.85279519 3.067527
4 1.5963505 -0.052189913 0.85364947 3.4985606
4.5 1.5953831 -0.058662924 0.85461687 3.9267583
5 1.5943029 -0.065118067 0.85569709 4.3517889
5.5 1.5931102 -0.071553373 0.85688981 4.7733291
6 1.5918054 -0.077966884 0.85819465 5.1910644
6.5 1.5903888 -0.084356645 0.85961123 5.6046891
7 1.5888609 -0.090720711 0.8611391 6.0139077
7.5 1.5872222 -0.097057142 0.86277782 6.4184351
8 1.5854731 -0.10336401 0.86452686 6.8179967
8.5 1.5836143 -0.10963939 0.86638572 7.2123296
9 1.5816462 -0.11588137 0.86835381 7.6011823
9.5 1.5795695 -0.12208806 0.87043053 7.9843154
10 1.5773847 -0.12825755 0.87261527 8.3615015
10.5 1.5750927 -0.13438798 0.87490734 8.7325259
11 1.5726939 -0.14047747 0.87730605 9.0971862
11.5 1.5701893 -0.14652417 0.87981068 9.4552926
12 1.5675795 -0.15252624 0.88242045 9.8066681
12.5 1.5648654 -0.15848185 0.88513458 10.151148
13 1.5620478 -0.16438918 0.88795223 10.488581
13.5 1.5591274 -0.17024644 0.89087255 10.818827
14 1.5561053 -0.17605184 0.89389465 11.141759
14.5 1.5529824 -0.18180361 0.89701761 11.457262
15 1.5497595 -0.1875 0.90024047 11.765233
15.5 1.5464377 -0.19313928 0.90356226 12.06558
16 1.543018 -0.19871972 0.90698196 12.358222
16.5 1.5395015 -0.20423964 0.91049854 12.643091
17 1.5358891 -0.20969734 0.91411091 12.920128
17.5 1.532182 -0.21509116 0.91781798 13.189284
18 1.5283814 -0.22041947 0.92161863 13.450521
18.5 1.5244883 -0.22568063 0.92551168 13.70381
19 1.520504 -0.23087305 0.92949597 13.949132
19.5 1.5164297 -0.23599515 0.93357026 14.186476
20 1.5122667 -0.24104535 0.93773333 14.41584
20.5 1.5080161 -0.24602214 0.94198391 14.637229
21 1.5036793 -0.25092398 0.94632069 14.850656
21.5 1.4992576 -0.25574939 0.95074236 15.056142
22 1.4947524 -0.26049689 0.95524757 15.253713
22.5 1.490165 -0.26516504 0.95983496 15.443404
23 1.4854969 -0.26975243 0.96450311 15.625254
23.5 1.4807494 -0.27425764 0.96925061 15.799308
24 1.475924 -0.27867931 0.97407602 15.965617
24.5 1.4710221 -0.28301609 0.97897786 16.124236
25 1.4660454 -0.28726667 0.98395465 16.275224
25.5 1.4609951 -0.29142974 0.98900485 16.418646
26 1.4558731 -0.29550403 0.99412695 16.554571
26.5 1.4506806 -0.29948832 0.99931937 16.683068
27 1.4454195 -0.30338137 1.0045805 16.804214
27.5 1.4400912 -0.30718202 1.0099088 16.918086
28 1.4346973 -0.31088909 1.0153027 17.024764
28.5 1.4292396 -0.31450146 1.0207604 17.124332
29 1.4237197 -0.31801804 1.0262803 17.216873
29.5 1.4181393 -0.32143774 1.0318607 17.302476
30 1.4125 -0.32475953 1.0375 17.381228
30.5 1.4068036 -0.32798239 1.0431964 17.45322
31 1.4010518 -0.33110535 1.0489482 17.518543
31.5 1.3952464 -0.33412745 1.0547536 17.577289
32 1.3893892 -0.33704777 1.0606108 17.629552
32.5 1.3834818 -0.33986542 1.0665182 17.675426
33 1.3775262 -0.34257955 1.0724738 17.715006
33.5 1.3715242 -0.34518932 1.0784758 17.748385
34 1.3654775 -0.34769395 1.0845225 17.77566
34.5 1.359388 -0.35009266 1.090612 17.796926
35 1.3532576 -0.35238473 1.0967424 17.812277
35.5 1.3470881 -0.35456947 1.1029119 17.821811
36 1.3408814 -0.35664619 1.1091186 17.825621
36.5 1.3346394 -0.35861428 1.1153606 17.823802
37 1.328364 -0.36047314 1.121636 17.816448
37.5 1.3220571 -0.36222218 1.1279429 17.803654
38 1.3157207 -0.3638609 1.1342793 17.785513
38.5 1.3093566 -0.36538877 1.1406434 17.762117
39 1.3029669 -0.36680535 1.1470331 17.733558
39.5 1.2965534 -0.36811019 1.1534466 17.699929
40 1.2901181 -0.36930291 1.1598819 17.661318
40.5 1.2836629 -0.37038313 1.1663371 17.617816
41 1.2771899 -0.37135053 1.1728101 17.569512
41.5 1.270701 -0.37220481 1.179299 17.516493
42 1.2641982 -0.37294571 1.1858018 17.458847
42.5 1.2576834 -0.37357301 1.1923166 17.396659
43 1.2511587 -0.37408652 1.1988413 17.330013
43.5 1.244626 -0.37448608 1.205374 17.258995
44 1.2380873 -0.37477156 1.2119127 17.183687
44.5 1.2315447 -0.37494289 1.2184553 17.10417
45 1.225 -0.375 1.225 17.020526
